date,year,location,species,sex,length,fw_age,sw_age,meas_type
6/30/2006,2006,Salmon River (Aniak),Chum,male,540,,,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,588,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,563,,,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,630,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,524,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,553,0,3,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,547,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,552,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,553,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,555,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,547,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,613,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,572,,,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,555,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,620,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,592,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,575,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,538,0,3,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,female,568,,,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,female,505,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,female,562,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,female,530,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,566,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,570,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,533,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,612,,,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,568,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,567,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,583,0,4,Mid-eye to fork of tail
6/30/2006,2006,Salmon River (Aniak),Chum,male,577,0,4,Mid-eye to fork of tail
