date,year,location,species,type,count
14-Jun,2017,George River,Chinook,Counted Live,0
14-Jun,2017,George River,Chum,Counted Live,0
14-Jun,2017,George River,Sockeye,Counted Live,0
15-Jun,1996,George River,Chinook,Estimated,0
15-Jun,1996,George River,Chum,Estimated,0
15-Jun,1997,George River,Chinook,Counted Live,26
15-Jun,1997,George River,Chum,Counted Live,0
15-Jun,1997,George River,Coho,Counted Live,0
15-Jun,1997,George River,Sockeye,Counted Live,0
15-Jun,1999,George River,Chum,Estimated,0
15-Jun,1999,George River,Coho,Estimated,0
15-Jun,2000,George River,Chinook,Estimated,0
15-Jun,2000,George River,Chum,Estimated,0
15-Jun,2000,George River,Coho,Estimated,0
15-Jun,2001,George River,Chinook,Estimated,0
15-Jun,2001,George River,Chum,Estimated,0
15-Jun,2001,George River,Coho,Estimated,0
15-Jun,2002,George River,Chinook,Estimated,0
15-Jun,2002,George River,Chum,Estimated,0
15-Jun,2002,George River,Coho,Estimated,0
15-Jun,2003,George River,Chum,Estimated,0
15-Jun,2003,George River,Coho,Estimated,0
15-Jun,2004,George River,Chinook,Estimated,0
15-Jun,2004,George River,Chum,Estimated,0
15-Jun,2004,George River,Coho,Estimated,0
15-Jun,2005,George River,Chinook,Counted Live,6
15-Jun,2005,George River,Chum,Counted Live,5
15-Jun,2005,George River,Coho,Counted Live,0
15-Jun,2005,George River,Sockeye,Counted Live,0
15-Jun,2006,George River,Chinook,Estimated,0
15-Jun,2006,George River,Chum,Estimated,0
15-Jun,2006,George River,Coho,Estimated,0
15-Jun,2006,George River,Sockeye,Counted Live,0
15-Jun,2007,George River,Chinook,Counted Live,0
15-Jun,2007,George River,Chum,Counted Live,0
15-Jun,2007,George River,Coho,Counted Live,0
15-Jun,2007,George River,Sockeye,Counted Live,0
15-Jun,2008,George River,Chinook,Estimated,0
15-Jun,2008,George River,Chum,Estimated,0
15-Jun,2008,George River,Coho,Estimated,0
15-Jun,2009,George River,Chinook,Estimated,0
15-Jun,2009,George River,Chum,Estimated,0
15-Jun,2009,George River,Coho,Estimated,0
15-Jun,2010,George River,Chinook,Counted Live,0
15-Jun,2010,George River,Chum,Counted Live,0
15-Jun,2010,George River,Coho,Counted Live,0
15-Jun,2010,George River,Sockeye,Counted Live,0
15-Jun,2011,George River,Chinook,Estimated,0
15-Jun,2011,George River,Chum,Estimated,0
15-Jun,2011,George River,Coho,Estimated,0
15-Jun,2012,George River,Chinook,Estimated,0
15-Jun,2012,George River,Chum,Estimated,0
15-Jun,2012,George River,Coho,Estimated,0
15-Jun,2013,George River,Chinook,Estimated,0
15-Jun,2013,George River,Chum,Estimated,0
15-Jun,2013,George River,Coho,Estimated,0
15-Jun,2014,George River,Chinook,Estimated,0
15-Jun,2014,George River,Chum,Estimated,0
15-Jun,2014,George River,Coho,Estimated,0
15-Jun,2015,George River,Chinook,Estimated,0
15-Jun,2015,George River,Chum,Estimated,1
15-Jun,2015,George River,Coho,Estimated,0
15-Jun,2015,George River,Sockeye,Counted Live,0
15-Jun,2016,George River,Chinook,Counted Live,0
15-Jun,2016,George River,Chum,Counted Live,0
15-Jun,2016,George River,Coho,Counted Live,0
15-Jun,2016,George River,Sockeye,Counted Live,0
15-Jun,2017,George River,Chinook,Counted Live,0
15-Jun,2017,George River,Chum,Counted Live,7
15-Jun,2017,George River,Coho,Counted Live,0
15-Jun,2017,George River,Sockeye,Counted Live,0
16-Jun,1996,George River,Chinook,Estimated,0
16-Jun,1996,George River,Chum,Estimated,9
16-Jun,1997,George River,Chinook,Estimated,0
16-Jun,1997,George River,Chum,Estimated,1
16-Jun,1997,George River,Coho,Estimated,0
16-Jun,1997,George River,Sockeye,Counted Live,0
16-Jun,1999,George River,Chum,Estimated,0
16-Jun,1999,George River,Coho,Estimated,0
16-Jun,2000,George River,Chinook,Estimated,0
16-Jun,2000,George River,Chum,Estimated,0
16-Jun,2000,George River,Coho,Estimated,0
16-Jun,2001,George River,Chinook,Estimated,0
16-Jun,2001,George River,Chum,Estimated,0
16-Jun,2001,George River,Coho,Estimated,0
16-Jun,2002,George River,Chinook,Estimated,0
16-Jun,2002,George River,Chum,Estimated,0
16-Jun,2002,George River,Coho,Estimated,0
16-Jun,2003,George River,Chum,Estimated,0
16-Jun,2003,George River,Coho,Estimated,0
16-Jun,2004,George River,Chinook,Estimated,0
16-Jun,2004,George River,Chum,Estimated,0
16-Jun,2004,George River,Coho,Estimated,0
16-Jun,2005,George River,Chinook,Counted Live,3
16-Jun,2005,George River,Chum,Counted Live,1
16-Jun,2005,George River,Coho,Counted Live,0
16-Jun,2005,George River,Sockeye,Counted Live,0
16-Jun,2006,George River,Chinook,Counted Live,1
16-Jun,2006,George River,Chum,Counted Live,0
16-Jun,2006,George River,Coho,Counted Live,0
16-Jun,2006,George River,Sockeye,Counted Live,0
16-Jun,2007,George River,Chinook,Counted Live,0
16-Jun,2007,George River,Chum,Counted Live,1
16-Jun,2007,George River,Coho,Counted Live,0
16-Jun,2007,George River,Sockeye,Counted Live,0
16-Jun,2008,George River,Chinook,Estimated,0
16-Jun,2008,George River,Chum,Estimated,0
16-Jun,2008,George River,Coho,Estimated,0
16-Jun,2009,George River,Chinook,Estimated,0
16-Jun,2009,George River,Chum,Estimated,0
16-Jun,2009,George River,Coho,Estimated,0
16-Jun,2010,George River,Chinook,Counted Live,0
16-Jun,2010,George River,Chum,Counted Live,0
16-Jun,2010,George River,Coho,Counted Live,0
16-Jun,2010,George River,Sockeye,Counted Live,0
16-Jun,2011,George River,Chinook,Counted Live,0
16-Jun,2011,George River,Chum,Counted Live,3
16-Jun,2011,George River,Coho,Counted Live,0
16-Jun,2011,George River,Sockeye,Counted Live,0
16-Jun,2012,George River,Chinook,Estimated,0
16-Jun,2012,George River,Chum,Estimated,0
16-Jun,2012,George River,Coho,Estimated,0
16-Jun,2013,George River,Chinook,Estimated,0
16-Jun,2013,George River,Chum,Estimated,0
16-Jun,2013,George River,Coho,Estimated,0
16-Jun,2014,George River,Chinook,Counted Live,0
16-Jun,2014,George River,Chum,Counted Live,0
16-Jun,2014,George River,Coho,Counted Live,0
16-Jun,2014,George River,Sockeye,Counted Live,0
16-Jun,2015,George River,Chinook,Counted Live,3
16-Jun,2015,George River,Chum,Counted Live,11
16-Jun,2015,George River,Coho,Counted Live,0
16-Jun,2015,George River,Sockeye,Counted Live,0
16-Jun,2016,George River,Chinook,Counted Live,1
16-Jun,2016,George River,Chum,Counted Live,5
16-Jun,2016,George River,Coho,Counted Live,0
16-Jun,2016,George River,Sockeye,Counted Live,0
16-Jun,2017,George River,Chinook,Counted Live,0
16-Jun,2017,George River,Chum,Counted Live,0
16-Jun,2017,George River,Coho,Counted Live,0
16-Jun,2017,George River,Sockeye,Counted Live,0
17-Jun,1996,George River,Chinook,Estimated,0
