date,year,location,species,type,count
23-Jun,2017,Kogrukluk River,Chinook,Counted Live,3
23-Jun,2017,Kogrukluk River,Chum,Counted Live,3
23-Jun,2017,Kogrukluk River,Coho,Counted Live,0
23-Jun,2017,Kogrukluk River,Sockeye,Counted Live,0
24-Jun,2017,Kogrukluk River,Chinook,Counted Live,2
24-Jun,2017,Kogrukluk River,Chum,Counted Live,22
24-Jun,2017,Kogrukluk River,Coho,Counted Live,0
24-Jun,2017,Kogrukluk River,Sockeye,Counted Live,0
25-Jun,2017,Kogrukluk River,Chinook,Counted Live,7
25-Jun,2017,Kogrukluk River,Chum,Counted Live,47
25-Jun,2017,Kogrukluk River,Coho,Counted Live,0
25-Jun,2017,Kogrukluk River,Sockeye,Counted Live,3
26-Jun,1976,Kogrukluk River,Chinook,Estimated,0
26-Jun,1976,Kogrukluk River,Chum,Estimated,0
26-Jun,1976,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1978,Kogrukluk River,Chinook,Estimated,0
26-Jun,1978,Kogrukluk River,Chum,Estimated,0
26-Jun,1978,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1979,Kogrukluk River,Chinook,Estimated,0
26-Jun,1979,Kogrukluk River,Chum,Estimated,0
26-Jun,1979,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1981,Kogrukluk River,Chinook,Estimated,0
26-Jun,1981,Kogrukluk River,Chum,Estimated,33
26-Jun,1981,Kogrukluk River,Coho,Estimated,0
26-Jun,1981,Kogrukluk River,Sockeye,Estimated,18
26-Jun,1982,Kogrukluk River,Chinook,Estimated,0
26-Jun,1982,Kogrukluk River,Chum,Estimated,0
26-Jun,1982,Kogrukluk River,Coho,Estimated,0
26-Jun,1982,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1983,Kogrukluk River,Chinook,Counted Live,4
26-Jun,1983,Kogrukluk River,Chum,Counted Live,47
26-Jun,1983,Kogrukluk River,Coho,Counted Live,0
26-Jun,1983,Kogrukluk River,Sockeye,Counted Live,0
26-Jun,1984,Kogrukluk River,Chinook,Counted Live,1
26-Jun,1984,Kogrukluk River,Chum,Counted Live,42
26-Jun,1984,Kogrukluk River,Coho,Counted Live,0
26-Jun,1984,Kogrukluk River,Sockeye,Counted Live,1
26-Jun,1985,Kogrukluk River,Chinook,Estimated,0
26-Jun,1985,Kogrukluk River,Chum,Estimated,0
26-Jun,1985,Kogrukluk River,Coho,Estimated,0
26-Jun,1985,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1986,Kogrukluk River,Chum,Estimated,0
26-Jun,1986,Kogrukluk River,Coho,Estimated,0
26-Jun,1986,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1987,Kogrukluk River,Coho,Estimated,0
26-Jun,1988,Kogrukluk River,Chinook,Estimated,0
26-Jun,1988,Kogrukluk River,Chum,Estimated,0
26-Jun,1988,Kogrukluk River,Coho,Estimated,0
26-Jun,1988,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1990,Kogrukluk River,Chinook,Estimated,0
26-Jun,1990,Kogrukluk River,Chum,Estimated,0
26-Jun,1990,Kogrukluk River,Coho,Estimated,0
26-Jun,1990,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1991,Kogrukluk River,Chinook,Estimated,0
26-Jun,1991,Kogrukluk River,Chum,Estimated,0
26-Jun,1991,Kogrukluk River,Coho,Estimated,0
26-Jun,1991,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1992,Kogrukluk River,Chinook,Estimated,0
26-Jun,1992,Kogrukluk River,Chum,Estimated,324
26-Jun,1992,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1993,Kogrukluk River,Chinook,Estimated,0
26-Jun,1993,Kogrukluk River,Chum,Estimated,0
26-Jun,1993,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1994,Kogrukluk River,Coho,Estimated,0
26-Jun,1995,Kogrukluk River,Chinook,Estimated,0
26-Jun,1995,Kogrukluk River,Chum,Estimated,0
26-Jun,1995,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1996,Kogrukluk River,Chinook,Estimated,0
26-Jun,1996,Kogrukluk River,Chum,Estimated,0
26-Jun,1996,Kogrukluk River,Coho,Estimated,0
26-Jun,1996,Kogrukluk River,Sockeye,Estimated,0
26-Jun,1997,Kogrukluk River,Chinook,Estimated,1
