date,year,location,species,type,count
3-Jun,2017,Kwethluk River,Chinook,Counted Live,0
3-Jun,2017,Kwethluk River,Chum,Counted Live,1
3-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
4-Jun,2017,Kwethluk River,Chinook,Counted Live,0
4-Jun,2017,Kwethluk River,Chum,Counted Live,0
4-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
5-Jun,2017,Kwethluk River,Chinook,Counted Live,0
5-Jun,2017,Kwethluk River,Chum,Counted Live,0
5-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
6-Jun,2017,Kwethluk River,Chinook,Counted Live,0
6-Jun,2017,Kwethluk River,Chum,Counted Live,0
6-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
7-Jun,2017,Kwethluk River,Chinook,Counted Live,0
7-Jun,2017,Kwethluk River,Chum,Counted Live,1
7-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
8-Jun,2017,Kwethluk River,Chinook,Counted Live,1
8-Jun,2017,Kwethluk River,Chum,Counted Live,2
8-Jun,2017,Kwethluk River,Sockeye,Counted Live,0
9-Jun,2017,Kwethluk River,Chinook,Counted Live,0
9-Jun,2017,Kwethluk River,Chum,Counted Live,1
9-Jun,2017,Kwethluk River,Sockeye,Counted Live,1
10-Jun,2015,Kwethluk River,Chinook,Counted Live,0
10-Jun,2015,Kwethluk River,Chum,Counted Live,1
10-Jun,2015,Kwethluk River,Coho,Counted Live,0
10-Jun,2015,Kwethluk River,Sockeye,Counted Live,0
10-Jun,2016,Kwethluk River,Chinook,Counted Live,
10-Jun,2016,Kwethluk River,Chum,Counted Live,
10-Jun,2016,Kwethluk River,Coho,Counted Live,
10-Jun,2016,Kwethluk River,Sockeye,Counted Live,
10-Jun,2017,Kwethluk River,Chinook,Counted Live,0
10-Jun,2017,Kwethluk River,Chum,Counted Live,2
10-Jun,2017,Kwethluk River,Coho,Counted Live,0
10-Jun,2017,Kwethluk River,Sockeye,Counted Live,2
11-Jun,2015,Kwethluk River,Chinook,Counted Live,0
