date,year,location,species,type,count
6/15,2006,Salmon River (Aniak),Chinook,Estimated,0
6/15,2006,Salmon River (Aniak),Chum,Estimated,0
6/15,2006,Salmon River (Aniak),Coho,Estimated,0
6/15,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/15,2007,Salmon River (Aniak),Chum,Counted Live,0
6/15,2007,Salmon River (Aniak),Coho,Counted Live,0
6/15,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/15,2008,Salmon River (Aniak),Chinook,Estimated,0
6/15,2008,Salmon River (Aniak),Chum,Estimated,0
6/15,2008,Salmon River (Aniak),Coho,Estimated,0
6/15,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2009,Salmon River (Aniak),Chinook,Estimated,0
6/15,2009,Salmon River (Aniak),Chum,Estimated,0
6/15,2009,Salmon River (Aniak),Coho,Estimated,0
6/15,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2012,Salmon River (Aniak),Chum,Estimated,0
6/15,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/15,2013,Salmon River (Aniak),Chum,Counted Live,0
6/15,2013,Salmon River (Aniak),Coho,Counted Live,0
6/15,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/15,2014,Salmon River (Aniak),Chinook,Estimated,0
6/15,2014,Salmon River (Aniak),Chum,Estimated,0
6/15,2014,Salmon River (Aniak),Coho,Estimated,0
6/15,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2015,Salmon River (Aniak),Chinook,Estimated,0
6/15,2015,Salmon River (Aniak),Chum,Estimated,0
6/15,2015,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2016,Salmon River (Aniak),Chum,Estimated,0
6/15,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2017,Salmon River (Aniak),Chinook,Estimated,0
6/15,2017,Salmon River (Aniak),Chum,Estimated,0
6/15,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/15,2018,Salmon River (Aniak),Chinook,Estimated,0
6/15,2018,Salmon River (Aniak),Chum,Estimated,0
6/15,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2006,Salmon River (Aniak),Chinook,Estimated,0
6/16,2006,Salmon River (Aniak),Chum,Estimated,0
6/16,2006,Salmon River (Aniak),Coho,Estimated,0
6/16,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/16,2007,Salmon River (Aniak),Chum,Counted Live,0
6/16,2007,Salmon River (Aniak),Coho,Counted Live,0
6/16,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/16,2008,Salmon River (Aniak),Chinook,Estimated,0
6/16,2008,Salmon River (Aniak),Chum,Estimated,0
6/16,2008,Salmon River (Aniak),Coho,Estimated,0
6/16,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2009,Salmon River (Aniak),Chinook,Estimated,0
6/16,2009,Salmon River (Aniak),Chum,Estimated,0
6/16,2009,Salmon River (Aniak),Coho,Estimated,0
6/16,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2012,Salmon River (Aniak),Chum,Estimated,0
6/16,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/16,2013,Salmon River (Aniak),Chum,Counted Live,0
6/16,2013,Salmon River (Aniak),Coho,Counted Live,0
6/16,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/16,2014,Salmon River (Aniak),Chinook,Estimated,0
6/16,2014,Salmon River (Aniak),Chum,Estimated,0
6/16,2014,Salmon River (Aniak),Coho,Estimated,0
6/16,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2015,Salmon River (Aniak),Chinook,Estimated,0
6/16,2015,Salmon River (Aniak),Chum,Estimated,0
6/16,2015,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2016,Salmon River (Aniak),Chum,Estimated,0
6/16,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2017,Salmon River (Aniak),Chinook,Estimated,0
6/16,2017,Salmon River (Aniak),Chum,Estimated,0
6/16,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/16,2018,Salmon River (Aniak),Chinook,Estimated,0
6/16,2018,Salmon River (Aniak),Chum,Estimated,0
6/16,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2006,Salmon River (Aniak),Chinook,Estimated,0
6/17,2006,Salmon River (Aniak),Chum,Estimated,0
6/17,2006,Salmon River (Aniak),Coho,Estimated,0
6/17,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/17,2007,Salmon River (Aniak),Chum,Counted Live,0
6/17,2007,Salmon River (Aniak),Coho,Counted Live,0
6/17,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/17,2008,Salmon River (Aniak),Chinook,Estimated,0
6/17,2008,Salmon River (Aniak),Chum,Estimated,0
6/17,2008,Salmon River (Aniak),Coho,Estimated,0
6/17,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2009,Salmon River (Aniak),Chinook,Estimated,0
6/17,2009,Salmon River (Aniak),Chum,Estimated,0
6/17,2009,Salmon River (Aniak),Coho,Estimated,0
6/17,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2012,Salmon River (Aniak),Chum,Estimated,0
6/17,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/17,2013,Salmon River (Aniak),Chum,Counted Live,0
6/17,2013,Salmon River (Aniak),Coho,Counted Live,0
6/17,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/17,2014,Salmon River (Aniak),Chinook,Estimated,0
6/17,2014,Salmon River (Aniak),Chum,Estimated,0
6/17,2014,Salmon River (Aniak),Coho,Estimated,0
6/17,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2015,Salmon River (Aniak),Chinook,Estimated,0
6/17,2015,Salmon River (Aniak),Chum,Estimated,0
6/17,2015,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2016,Salmon River (Aniak),Chum,Estimated,0
6/17,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2017,Salmon River (Aniak),Chinook,Estimated,0
6/17,2017,Salmon River (Aniak),Chum,Estimated,0
6/17,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/17,2018,Salmon River (Aniak),Chinook,Estimated,0
6/17,2018,Salmon River (Aniak),Chum,Estimated,0
6/17,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2006,Salmon River (Aniak),Chinook,Estimated,0
6/18,2006,Salmon River (Aniak),Chum,Estimated,0
6/18,2006,Salmon River (Aniak),Coho,Estimated,0
6/18,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/18,2007,Salmon River (Aniak),Chum,Counted Live,0
6/18,2007,Salmon River (Aniak),Coho,Counted Live,0
6/18,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/18,2008,Salmon River (Aniak),Chinook,Estimated,0
6/18,2008,Salmon River (Aniak),Chum,Estimated,0
6/18,2008,Salmon River (Aniak),Coho,Estimated,0
6/18,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2009,Salmon River (Aniak),Chinook,Estimated,0
6/18,2009,Salmon River (Aniak),Chum,Estimated,0
6/18,2009,Salmon River (Aniak),Coho,Estimated,0
6/18,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2012,Salmon River (Aniak),Chum,Estimated,0
6/18,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/18,2013,Salmon River (Aniak),Chum,Counted Live,0
6/18,2013,Salmon River (Aniak),Coho,Counted Live,0
6/18,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/18,2014,Salmon River (Aniak),Chinook,Estimated,0
6/18,2014,Salmon River (Aniak),Chum,Estimated,0
6/18,2014,Salmon River (Aniak),Coho,Estimated,0
6/18,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2015,Salmon River (Aniak),Chinook,Estimated,0
6/18,2015,Salmon River (Aniak),Chum,Estimated,0
6/18,2015,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2016,Salmon River (Aniak),Chum,Estimated,0
6/18,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2017,Salmon River (Aniak),Chinook,Estimated,0
6/18,2017,Salmon River (Aniak),Chum,Estimated,0
6/18,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/18,2018,Salmon River (Aniak),Chinook,Estimated,0
6/18,2018,Salmon River (Aniak),Chum,Estimated,0
6/18,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2006,Salmon River (Aniak),Chinook,Estimated,0
6/19,2006,Salmon River (Aniak),Chum,Estimated,0
6/19,2006,Salmon River (Aniak),Coho,Estimated,0
6/19,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/19,2007,Salmon River (Aniak),Chum,Counted Live,0
6/19,2007,Salmon River (Aniak),Coho,Counted Live,0
6/19,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/19,2008,Salmon River (Aniak),Chinook,Estimated,0
6/19,2008,Salmon River (Aniak),Chum,Estimated,0
6/19,2008,Salmon River (Aniak),Coho,Estimated,0
6/19,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2009,Salmon River (Aniak),Chinook,Estimated,0
6/19,2009,Salmon River (Aniak),Chum,Estimated,0
6/19,2009,Salmon River (Aniak),Coho,Estimated,0
6/19,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2012,Salmon River (Aniak),Chum,Estimated,0
6/19,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/19,2013,Salmon River (Aniak),Chum,Counted Live,0
6/19,2013,Salmon River (Aniak),Coho,Counted Live,0
6/19,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/19,2014,Salmon River (Aniak),Chinook,Estimated,0
6/19,2014,Salmon River (Aniak),Chum,Estimated,0
6/19,2014,Salmon River (Aniak),Coho,Estimated,0
6/19,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2015,Salmon River (Aniak),Chinook,Estimated,0
6/19,2015,Salmon River (Aniak),Chum,Estimated,0
6/19,2015,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2016,Salmon River (Aniak),Chum,Estimated,0
6/19,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2017,Salmon River (Aniak),Chinook,Estimated,0
6/19,2017,Salmon River (Aniak),Chum,Estimated,0
6/19,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/19,2018,Salmon River (Aniak),Chinook,Estimated,0
6/19,2018,Salmon River (Aniak),Chum,Estimated,0
6/19,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2006,Salmon River (Aniak),Chinook,Estimated,0
6/20,2006,Salmon River (Aniak),Chum,Estimated,0
6/20,2006,Salmon River (Aniak),Coho,Estimated,0
6/20,2006,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/20,2007,Salmon River (Aniak),Chum,Counted Live,0
6/20,2007,Salmon River (Aniak),Coho,Counted Live,0
6/20,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/20,2008,Salmon River (Aniak),Chinook,Estimated,0
6/20,2008,Salmon River (Aniak),Chum,Estimated,0
6/20,2008,Salmon River (Aniak),Coho,Estimated,0
6/20,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2009,Salmon River (Aniak),Chinook,Estimated,0
6/20,2009,Salmon River (Aniak),Chum,Estimated,0
6/20,2009,Salmon River (Aniak),Coho,Estimated,0
6/20,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2012,Salmon River (Aniak),Chum,Estimated,0
6/20,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/20,2013,Salmon River (Aniak),Chum,Counted Live,0
6/20,2013,Salmon River (Aniak),Coho,Counted Live,0
6/20,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/20,2014,Salmon River (Aniak),Chinook,Estimated,0
6/20,2014,Salmon River (Aniak),Chum,Estimated,0
6/20,2014,Salmon River (Aniak),Coho,Estimated,0
6/20,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2015,Salmon River (Aniak),Chinook,Counted Live,0
6/20,2015,Salmon River (Aniak),Chum,Counted Live,0
6/20,2015,Salmon River (Aniak),Coho,Counted Live,0
6/20,2015,Salmon River (Aniak),Sockeye,Counted Live,0
6/20,2016,Salmon River (Aniak),Chum,Estimated,0
6/20,2016,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2017,Salmon River (Aniak),Chinook,Estimated,0
6/20,2017,Salmon River (Aniak),Chum,Estimated,0
6/20,2017,Salmon River (Aniak),Sockeye,Estimated,0
6/20,2018,Salmon River (Aniak),Chinook,Estimated,0
6/20,2018,Salmon River (Aniak),Chum,Estimated,0
6/20,2018,Salmon River (Aniak),Sockeye,Estimated,0
6/21,2006,Salmon River (Aniak),Chinook,Counted Live,0
6/21,2006,Salmon River (Aniak),Chum,Counted Live,0
6/21,2006,Salmon River (Aniak),Coho,Counted Live,0
6/21,2006,Salmon River (Aniak),Sockeye,Counted Live,0
6/21,2007,Salmon River (Aniak),Chinook,Counted Live,0
6/21,2007,Salmon River (Aniak),Chum,Counted Live,0
6/21,2007,Salmon River (Aniak),Coho,Counted Live,0
6/21,2007,Salmon River (Aniak),Sockeye,Counted Live,0
6/21,2008,Salmon River (Aniak),Chinook,Estimated,0
6/21,2008,Salmon River (Aniak),Chum,Estimated,0
6/21,2008,Salmon River (Aniak),Coho,Estimated,0
6/21,2008,Salmon River (Aniak),Sockeye,Estimated,0
6/21,2009,Salmon River (Aniak),Chinook,Estimated,0
6/21,2009,Salmon River (Aniak),Chum,Estimated,0
6/21,2009,Salmon River (Aniak),Coho,Estimated,0
6/21,2009,Salmon River (Aniak),Sockeye,Estimated,0
6/21,2012,Salmon River (Aniak),Chum,Estimated,0
6/21,2012,Salmon River (Aniak),Sockeye,Estimated,0
6/21,2013,Salmon River (Aniak),Chinook,Counted Live,0
6/21,2013,Salmon River (Aniak),Chum,Counted Live,0
6/21,2013,Salmon River (Aniak),Coho,Counted Live,0
6/21,2013,Salmon River (Aniak),Sockeye,Counted Live,0
6/21,2014,Salmon River (Aniak),Chinook,Estimated,0
6/21,2014,Salmon River (Aniak),Chum,Estimated,0
6/21,2014,Salmon River (Aniak),Coho,Estimated,0
6/21,2014,Salmon River (Aniak),Sockeye,Estimated,0
6/21,2015,Salmon River (Aniak),Chinook,Counted Live,1
6/21,2015,Salmon River (Aniak),Chum,Counted Live,0
