date,year,location,species,type,count
6/3,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/3,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/3,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/4,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/4,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/4,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/5,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/5,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/5,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/6,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/6,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/6,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/7,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/7,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/7,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/8,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/8,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/8,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/9,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/9,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/9,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/13,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/13,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/13,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/14,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/14,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/14,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/15,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/15,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/15,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/16,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/16,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/16,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/17,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/17,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/17,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/17,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/17,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/17,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/18,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/18,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/18,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/18,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
