date,year,location,species,type,count
15-Jun,1996,Takotna River,Chinook,Calculated,0
15-Jun,1996,Takotna River,Chum,Calculated,0
16-Jun,1996,Takotna River,Chinook,Calculated,0
16-Jun,1996,Takotna River,Chum,Calculated,0
17-Jun,1996,Takotna River,Chinook,Calculated,0
17-Jun,1996,Takotna River,Chum,Calculated,0
17-Jun,1997,Takotna River,Chinook,Calculated,0
17-Jun,1997,Takotna River,Chum,Calculated,0
18-Jun,1996,Takotna River,Chinook,Calculated,0
18-Jun,1996,Takotna River,Chum,Calculated,0
18-Jun,1997,Takotna River,Chinook,Calculated,0
18-Jun,1997,Takotna River,Chum,Calculated,0
19-Jun,1996,Takotna River,Chinook,Calculated,0
19-Jun,1996,Takotna River,Chum,Calculated,0
19-Jun,1997,Takotna River,Chinook,Calculated,0
19-Jun,1997,Takotna River,Chum,Calculated,0
20-Jun,1996,Takotna River,Chinook,Calculated,0
20-Jun,1996,Takotna River,Chum,Calculated,0
20-Jun,1997,Takotna River,Chinook,Calculated,0
20-Jun,1997,Takotna River,Chum,Calculated,0
21-Jun,1996,Takotna River,Chinook,Calculated,0
21-Jun,1996,Takotna River,Chum,Calculated,14
21-Jun,1997,Takotna River,Chinook,Calculated,0
21-Jun,1997,Takotna River,Chum,Calculated,6
22-Jun,1996,Takotna River,Chinook,Calculated,0
22-Jun,1996,Takotna River,Chum,Calculated,0
22-Jun,1997,Takotna River,Chinook,Calculated,6
22-Jun,1997,Takotna River,Chum,Calculated,0
23-Jun,1996,Takotna River,Chinook,Calculated,0
23-Jun,1996,Takotna River,Chum,Calculated,0
23-Jun,1997,Takotna River,Chinook,Calculated,0
23-Jun,1997,Takotna River,Chum,Calculated,0
24-Jun,1996,Takotna River,Chinook,Calculated,0
24-Jun,1996,Takotna River,Chum,Calculated,102
24-Jun,1997,Takotna River,Chinook,Calculated,12
24-Jun,1997,Takotna River,Chum,Calculated,12
24-Jun,2000,Takotna River,Chinook,Counted Live,0
24-Jun,2000,Takotna River,Chum,Counted Live,1
24-Jun,2000,Takotna River,Coho,Counted Live,0
24-Jun,2000,Takotna River,Sockeye,Counted Live,0
24-Jun,2001,Takotna River,Chinook,Counted Live,1
24-Jun,2001,Takotna River,Chum,Counted Live,3
24-Jun,2001,Takotna River,Coho,Counted Live,0
24-Jun,2001,Takotna River,Sockeye,Counted Live,0
24-Jun,2002,Takotna River,Chinook,Counted Live,1
24-Jun,2002,Takotna River,Chum,Counted Live,29
24-Jun,2002,Takotna River,Coho,Counted Live,0
24-Jun,2002,Takotna River,Sockeye,Counted Live,0
24-Jun,2003,Takotna River,Chinook,Estimated,0
24-Jun,2003,Takotna River,Chum,Estimated,0
24-Jun,2003,Takotna River,Coho,Estimated,0
24-Jun,2004,Takotna River,Chinook,Counted Live,1
24-Jun,2004,Takotna River,Chum,Counted Live,4
24-Jun,2004,Takotna River,Coho,Counted Live,0
24-Jun,2004,Takotna River,Sockeye,Counted Live,0
24-Jun,2005,Takotna River,Chinook,Counted Live,1
24-Jun,2005,Takotna River,Chum,Counted Live,2
24-Jun,2005,Takotna River,Coho,Counted Live,0
24-Jun,2005,Takotna River,Sockeye,Counted Live,0
24-Jun,2006,Takotna River,Chinook,Counted Live,0
24-Jun,2006,Takotna River,Chum,Counted Live,20
24-Jun,2006,Takotna River,Coho,Counted Live,0
24-Jun,2006,Takotna River,Sockeye,Counted Live,0
24-Jun,2007,Takotna River,Chinook,Counted Live,0
24-Jun,2007,Takotna River,Chum,Counted Live,1
24-Jun,2007,Takotna River,Coho,Counted Live,0
24-Jun,2007,Takotna River,Sockeye,Counted Live,0
24-Jun,2008,Takotna River,Chinook,Counted Live,0
24-Jun,2008,Takotna River,Chum,Counted Live,9
24-Jun,2008,Takotna River,Coho,Counted Live,0
24-Jun,2008,Takotna River,Sockeye,Counted Live,0
24-Jun,2009,Takotna River,Chinook,Counted Live,0
24-Jun,2009,Takotna River,Chum,Counted Live,2
24-Jun,2009,Takotna River,Coho,Counted Live,0
24-Jun,2009,Takotna River,Sockeye,Counted Live,0
24-Jun,2010,Takotna River,Chinook,Estimated,0
24-Jun,2010,Takotna River,Chum,Estimated,0
24-Jun,2010,Takotna River,Coho,Estimated,0
24-Jun,2011,Takotna River,Chinook,Estimated,0
24-Jun,2011,Takotna River,Chum,Estimated,0
24-Jun,2011,Takotna River,Coho,Estimated,0
24-Jun,2012,Takotna River,Chinook,Estimated,0
24-Jun,2012,Takotna River,Chum,Estimated,0
24-Jun,2012,Takotna River,Coho,Estimated,0
24-Jun,2013,Takotna River,Chinook,Counted Live,0
24-Jun,2013,Takotna River,Chum,Counted Live,0
24-Jun,2013,Takotna River,Coho,Counted Live,0
24-Jun,2013,Takotna River,Sockeye,Counted Live,0
24-Jun,2017,Takotna River,Chinook,Estimated,0
24-Jun,2017,Takotna River,Chum,Estimated,0
25-Jun,1996,Takotna River,Chinook,Calculated,0
25-Jun,1996,Takotna River,Chum,Calculated,0
25-Jun,1997,Takotna River,Chinook,Calculated,30
25-Jun,1997,Takotna River,Chum,Calculated,27
25-Jun,2000,Takotna River,Chinook,Counted Live,2
25-Jun,2000,Takotna River,Chum,Counted Live,24
25-Jun,2000,Takotna River,Coho,Counted Live,0
25-Jun,2000,Takotna River,Sockeye,Counted Live,0
25-Jun,2001,Takotna River,Chinook,Counted Live,3
25-Jun,2001,Takotna River,Chum,Counted Live,9
25-Jun,2001,Takotna River,Coho,Counted Live,0
25-Jun,2001,Takotna River,Sockeye,Counted Live,0
25-Jun,2002,Takotna River,Chinook,Counted Live,0
25-Jun,2002,Takotna River,Chum,Counted Live,55
25-Jun,2002,Takotna River,Coho,Counted Live,0
25-Jun,2002,Takotna River,Sockeye,Counted Live,0
25-Jun,2003,Takotna River,Chinook,Estimated,0
25-Jun,2003,Takotna River,Chum,Estimated,0
25-Jun,2003,Takotna River,Coho,Estimated,0
25-Jun,2004,Takotna River,Chinook,Counted Live,2
25-Jun,2004,Takotna River,Chum,Counted Live,8
25-Jun,2004,Takotna River,Coho,Counted Live,0
25-Jun,2004,Takotna River,Sockeye,Counted Live,0
25-Jun,2005,Takotna River,Chinook,Counted Live,0
25-Jun,2005,Takotna River,Chum,Counted Live,4
25-Jun,2005,Takotna River,Coho,Counted Live,0
25-Jun,2005,Takotna River,Sockeye,Counted Live,0
25-Jun,2006,Takotna River,Chinook,Counted Live,1
25-Jun,2006,Takotna River,Chum,Counted Live,21
25-Jun,2006,Takotna River,Coho,Counted Live,0
25-Jun,2006,Takotna River,Sockeye,Counted Live,0
25-Jun,2007,Takotna River,Chinook,Counted Live,0
25-Jun,2007,Takotna River,Chum,Counted Live,8
25-Jun,2007,Takotna River,Coho,Counted Live,0
25-Jun,2007,Takotna River,Sockeye,Counted Live,0
25-Jun,2008,Takotna River,Chinook,Counted Live,1
25-Jun,2008,Takotna River,Chum,Counted Live,12
25-Jun,2008,Takotna River,Coho,Counted Live,0
25-Jun,2008,Takotna River,Sockeye,Counted Live,0
25-Jun,2009,Takotna River,Chinook,Counted Live,0
25-Jun,2009,Takotna River,Chum,Counted Live,13
25-Jun,2009,Takotna River,Coho,Counted Live,0
25-Jun,2009,Takotna River,Sockeye,Counted Live,0
25-Jun,2010,Takotna River,Chinook,Estimated,0
25-Jun,2010,Takotna River,Chum,Estimated,0
25-Jun,2010,Takotna River,Coho,Estimated,0
25-Jun,2011,Takotna River,Chinook,Estimated,0
25-Jun,2011,Takotna River,Chum,Estimated,0
25-Jun,2011,Takotna River,Coho,Estimated,0
25-Jun,2012,Takotna River,Chinook,Estimated,0
25-Jun,2012,Takotna River,Chum,Estimated,0
25-Jun,2012,Takotna River,Coho,Estimated,0
25-Jun,2013,Takotna River,Chinook,Counted Live,0
25-Jun,2013,Takotna River,Chum,Counted Live,4
25-Jun,2013,Takotna River,Coho,Counted Live,0
25-Jun,2013,Takotna River,Sockeye,Counted Live,0
25-Jun,2017,Takotna River,Chinook,Estimated,0
25-Jun,2017,Takotna River,Chum,Estimated,0
26-Jun,1996,Takotna River,Chinook,Calculated,9
26-Jun,1996,Takotna River,Chum,Calculated,0
26-Jun,1997,Takotna River,Chinook,Calculated,24
26-Jun,1997,Takotna River,Chum,Calculated,12
26-Jun,2000,Takotna River,Chinook,Counted Live,2
26-Jun,2000,Takotna River,Chum,Counted Live,23
26-Jun,2000,Takotna River,Coho,Counted Live,0
26-Jun,2000,Takotna River,Sockeye,Counted Live,0
26-Jun,2001,Takotna River,Chinook,Counted Live,1
26-Jun,2001,Takotna River,Chum,Counted Live,10
26-Jun,2001,Takotna River,Coho,Counted Live,0
26-Jun,2001,Takotna River,Sockeye,Counted Live,0
26-Jun,2002,Takotna River,Chinook,Counted Live,0
26-Jun,2002,Takotna River,Chum,Counted Live,55
26-Jun,2002,Takotna River,Coho,Counted Live,0
26-Jun,2002,Takotna River,Sockeye,Counted Live,0
26-Jun,2003,Takotna River,Chinook,Estimated,0
26-Jun,2003,Takotna River,Chum,Estimated,0
26-Jun,2003,Takotna River,Coho,Estimated,0
26-Jun,2004,Takotna River,Chinook,Counted Live,3
26-Jun,2004,Takotna River,Chum,Counted Live,31
26-Jun,2004,Takotna River,Coho,Counted Live,0
26-Jun,2004,Takotna River,Sockeye,Counted Live,0
26-Jun,2005,Takotna River,Chinook,Counted Live,4
26-Jun,2005,Takotna River,Chum,Counted Live,9
26-Jun,2005,Takotna River,Coho,Counted Live,0
26-Jun,2005,Takotna River,Sockeye,Counted Live,0
26-Jun,2006,Takotna River,Chinook,Counted Live,0
26-Jun,2006,Takotna River,Chum,Counted Live,32
26-Jun,2006,Takotna River,Coho,Counted Live,0
26-Jun,2006,Takotna River,Sockeye,Counted Live,0
26-Jun,2007,Takotna River,Chinook,Counted Live,0
26-Jun,2007,Takotna River,Chum,Counted Live,1
26-Jun,2007,Takotna River,Coho,Counted Live,0
26-Jun,2007,Takotna River,Sockeye,Counted Live,0
26-Jun,2008,Takotna River,Chinook,Counted Live,0
26-Jun,2008,Takotna River,Chum,Counted Live,7
26-Jun,2008,Takotna River,Coho,Counted Live,0
26-Jun,2008,Takotna River,Sockeye,Counted Live,0
26-Jun,2009,Takotna River,Chinook,Counted Live,2
26-Jun,2009,Takotna River,Chum,Counted Live,30
26-Jun,2009,Takotna River,Coho,Counted Live,0
26-Jun,2009,Takotna River,Sockeye,Counted Live,0
26-Jun,2010,Takotna River,Chinook,Estimated,0
26-Jun,2010,Takotna River,Chum,Estimated,0
26-Jun,2010,Takotna River,Coho,Estimated,0
26-Jun,2011,Takotna River,Chinook,Estimated,0
26-Jun,2011,Takotna River,Chum,Estimated,0
26-Jun,2011,Takotna River,Coho,Estimated,0
26-Jun,2012,Takotna River,Chinook,Estimated,0
26-Jun,2012,Takotna River,Chum,Estimated,0
26-Jun,2012,Takotna River,Coho,Estimated,0
26-Jun,2013,Takotna River,Chinook,Counted Live,0
26-Jun,2013,Takotna River,Chum,Counted Live,4
26-Jun,2013,Takotna River,Coho,Counted Live,0
26-Jun,2013,Takotna River,Sockeye,Counted Live,0
26-Jun,2017,Takotna River,Chinook,Estimated,0
26-Jun,2017,Takotna River,Chum,Estimated,0
27-Jun,1996,Takotna River,Chinook,Calculated,17
27-Jun,1996,Takotna River,Chum,Calculated,137
27-Jun,1997,Takotna River,Chinook,Calculated,9
27-Jun,1997,Takotna River,Chum,Calculated,51
27-Jun,2000,Takotna River,Chinook,Counted Live,1
27-Jun,2000,Takotna River,Chum,Counted Live,11
27-Jun,2000,Takotna River,Coho,Counted Live,0
27-Jun,2000,Takotna River,Sockeye,Counted Live,0
27-Jun,2001,Takotna River,Chinook,Counted Live,4
27-Jun,2001,Takotna River,Chum,Counted Live,12
27-Jun,2001,Takotna River,Coho,Counted Live,0
27-Jun,2001,Takotna River,Sockeye,Counted Live,0
27-Jun,2002,Takotna River,Chinook,Counted Live,2
27-Jun,2002,Takotna River,Chum,Counted Live,111
27-Jun,2002,Takotna River,Coho,Counted Live,0
27-Jun,2002,Takotna River,Sockeye,Counted Live,0
27-Jun,2003,Takotna River,Chinook,Estimated,0
27-Jun,2003,Takotna River,Chum,Estimated,0
27-Jun,2003,Takotna River,Coho,Estimated,0
27-Jun,2004,Takotna River,Chinook,Counted Live,7
27-Jun,2004,Takotna River,Chum,Counted Live,28
27-Jun,2004,Takotna River,Coho,Counted Live,0
27-Jun,2004,Takotna River,Sockeye,Counted Live,0
27-Jun,2005,Takotna River,Chinook,Counted Live,3
27-Jun,2005,Takotna River,Chum,Counted Live,9
27-Jun,2005,Takotna River,Coho,Counted Live,0
27-Jun,2005,Takotna River,Sockeye,Counted Live,0
27-Jun,2006,Takotna River,Chinook,Counted Live,0
27-Jun,2006,Takotna River,Chum,Counted Live,65
27-Jun,2006,Takotna River,Coho,Counted Live,0
27-Jun,2006,Takotna River,Sockeye,Counted Live,0
27-Jun,2007,Takotna River,Chinook,Counted Live,0
27-Jun,2007,Takotna River,Chum,Counted Live,15
27-Jun,2007,Takotna River,Coho,Counted Live,0
27-Jun,2007,Takotna River,Sockeye,Counted Live,0
27-Jun,2008,Takotna River,Chinook,Counted Live,1
27-Jun,2008,Takotna River,Chum,Counted Live,26
27-Jun,2008,Takotna River,Coho,Counted Live,0
27-Jun,2008,Takotna River,Sockeye,Counted Live,0
27-Jun,2009,Takotna River,Chinook,Counted Live,0
27-Jun,2009,Takotna River,Chum,Counted Live,21
27-Jun,2009,Takotna River,Coho,Counted Live,0
27-Jun,2009,Takotna River,Sockeye,Counted Live,0
27-Jun,2010,Takotna River,Chinook,Counted Live,0
27-Jun,2010,Takotna River,Chum,Counted Live,0
27-Jun,2010,Takotna River,Coho,Counted Live,0
27-Jun,2010,Takotna River,Sockeye,Counted Live,0
27-Jun,2011,Takotna River,Chinook,Estimated,0
27-Jun,2011,Takotna River,Chum,Estimated,0
27-Jun,2011,Takotna River,Coho,Estimated,0
27-Jun,2012,Takotna River,Chinook,Estimated,0
27-Jun,2012,Takotna River,Chum,Estimated,0
27-Jun,2012,Takotna River,Coho,Estimated,0
27-Jun,2013,Takotna River,Chinook,Counted Live,0
27-Jun,2013,Takotna River,Chum,Counted Live,13
27-Jun,2013,Takotna River,Coho,Counted Live,0
27-Jun,2013,Takotna River,Sockeye,Counted Live,0
27-Jun,2017,Takotna River,Chinook,Estimated,0
27-Jun,2017,Takotna River,Chum,Estimated,0
28-Jun,1996,Takotna River,Chinook,Calculated,8
28-Jun,1996,Takotna River,Chum,Calculated,58
28-Jun,1997,Takotna River,Chinook,Calculated,33
28-Jun,1997,Takotna River,Chum,Calculated,45
28-Jun,1998,Takotna River,Chinook,Calculated,0
28-Jun,1998,Takotna River,Chum,Calculated,0
28-Jun,2000,Takotna River,Chinook,Counted Live,0
28-Jun,2000,Takotna River,Chum,Counted Live,9
28-Jun,2000,Takotna River,Coho,Counted Live,0
28-Jun,2000,Takotna River,Sockeye,Counted Live,0
28-Jun,2001,Takotna River,Chinook,Counted Live,1
28-Jun,2001,Takotna River,Chum,Counted Live,4
28-Jun,2001,Takotna River,Coho,Counted Live,0
28-Jun,2001,Takotna River,Sockeye,Counted Live,0
28-Jun,2002,Takotna River,Chinook,Counted Live,4
28-Jun,2002,Takotna River,Chum,Counted Live,116
28-Jun,2002,Takotna River,Coho,Counted Live,0
28-Jun,2002,Takotna River,Sockeye,Counted Live,0
28-Jun,2003,Takotna River,Chinook,Estimated,0
28-Jun,2003,Takotna River,Chum,Estimated,1
28-Jun,2003,Takotna River,Coho,Estimated,0
28-Jun,2004,Takotna River,Chinook,Counted Live,16
28-Jun,2004,Takotna River,Chum,Counted Live,32
28-Jun,2004,Takotna River,Coho,Counted Live,0
28-Jun,2004,Takotna River,Sockeye,Counted Live,0
28-Jun,2005,Takotna River,Chinook,Counted Live,23
28-Jun,2005,Takotna River,Chum,Counted Live,14
28-Jun,2005,Takotna River,Coho,Counted Live,0
28-Jun,2005,Takotna River,Sockeye,Counted Live,0
28-Jun,2006,Takotna River,Chinook,Counted Live,0
28-Jun,2006,Takotna River,Chum,Counted Live,70
28-Jun,2006,Takotna River,Coho,Counted Live,0
28-Jun,2006,Takotna River,Sockeye,Counted Live,0
28-Jun,2007,Takotna River,Chinook,Counted Live,0
28-Jun,2007,Takotna River,Chum,Counted Live,19
28-Jun,2007,Takotna River,Coho,Counted Live,0
28-Jun,2007,Takotna River,Sockeye,Counted Live,0
28-Jun,2008,Takotna River,Chinook,Counted Live,1
28-Jun,2008,Takotna River,Chum,Counted Live,19
28-Jun,2008,Takotna River,Coho,Counted Live,0
28-Jun,2008,Takotna River,Sockeye,Counted Live,0
28-Jun,2009,Takotna River,Chinook,Counted Live,1
28-Jun,2009,Takotna River,Chum,Counted Live,18
28-Jun,2009,Takotna River,Coho,Counted Live,0
28-Jun,2009,Takotna River,Sockeye,Counted Live,0
28-Jun,2010,Takotna River,Chinook,Counted Live,0
28-Jun,2010,Takotna River,Chum,Counted Live,0
28-Jun,2010,Takotna River,Coho,Counted Live,0
28-Jun,2010,Takotna River,Sockeye,Counted Live,0
28-Jun,2011,Takotna River,Chinook,Estimated,0
28-Jun,2011,Takotna River,Chum,Estimated,0
28-Jun,2011,Takotna River,Coho,Estimated,0
28-Jun,2012,Takotna River,Chinook,Estimated,0
28-Jun,2012,Takotna River,Chum,Estimated,0
28-Jun,2012,Takotna River,Coho,Estimated,0
28-Jun,2013,Takotna River,Chinook,Counted Live,2
28-Jun,2013,Takotna River,Chum,Counted Live,25
28-Jun,2013,Takotna River,Coho,Counted Live,0
28-Jun,2013,Takotna River,Sockeye,Counted Live,0
28-Jun,2017,Takotna River,Chinook,Estimated,0
28-Jun,2017,Takotna River,Chum,Estimated,0
29-Jun,1996,Takotna River,Chinook,Calculated,21
29-Jun,1996,Takotna River,Chum,Calculated,127
29-Jun,1997,Takotna River,Chinook,Calculated,36
29-Jun,1997,Takotna River,Chum,Calculated,84
29-Jun,1998,Takotna River,Chinook,Calculated,0
29-Jun,1998,Takotna River,Chum,Calculated,0
29-Jun,2000,Takotna River,Chinook,Counted Live,1
29-Jun,2000,Takotna River,Chum,Counted Live,6
29-Jun,2000,Takotna River,Coho,Counted Live,0
29-Jun,2000,Takotna River,Sockeye,Counted Live,0
29-Jun,2001,Takotna River,Chinook,Counted Live,1
29-Jun,2001,Takotna River,Chum,Counted Live,19
29-Jun,2001,Takotna River,Coho,Counted Live,0
