Year,Kwethluk,Tuluksak,Kogrukluk,George,Tatlawiksuk,Takotna,Salmon_Aniak,Salmon_Pitka
1976,NA,NA,5822,,NA,NA,NA,NA
1977,NA,NA,,,NA,NA,NA,NA
1978,NA,NA,13436,,NA,NA,NA,NA
1979,NA,NA,11437,,NA,NA,NA,NA
1980,NA,NA,,,NA,NA,NA,NA
1981,NA,NA,16075,,NA,NA,NA,NA
1982,NA,NA,,,NA,NA,NA,NA
1983,NA,NA,,,NA,NA,NA,NA
1984,NA,NA,4922,,NA,NA,NA,NA
1985,NA,NA,4479,,NA,NA,NA,NA
1986,NA,NA,NA,,NA,NA,NA,NA
1987,NA,NA,NA,,NA,NA,NA,NA
1988,NA,NA,8603,,NA,NA,NA,NA
1989,NA,NA,NA,,NA,NA,NA,NA
1990,NA,NA,10093,,NA,NA,NA,NA
1991,NA,697,7602,,NA,NA,NA,NA
1992,9675,1083,6471,,NA,NA,NA,NA
1993,NA,2218,12157,,NA,NA,NA,NA
1994,NA,2932,NA,,NA,NA,NA,NA
1995,NA,NA,20249,,NA,540,NA,NA
1996,NA,NA,13900,7501,NA,423,NA,NA
1997,NA,NA,13116,7810,NA,1197,NA,NA
1998,NA,NA,NA,,NA,NA,NA,NA
1999,NA,NA,5567,,1484,NA,NA,NA
2000,3547,NA,3254,2956,808,345,NA,NA
2001,NA,924,8151,3313,2013,718,NA,NA
2002,8543,1346,9830,2445,2237,326,NA,NA
2003,14475,1067,11751,,NA,378,NA,NA
2004,28801,1475,19880,5392,2833,461,NA,NA
2005,NA,2653,21686,3845,2858,499,NA,NA
2006,17019,1008,19305,4359,1700,537,6901,NA
2007,15112,374,NA,4972,2058,412,6214,NA
2008,5642,707,9740,3383,1194,413,2376,NA
2009,5826,362,9201,3664,1071,311,1823,NA
2010,1716,201,5160,1500,554,183,NA,NA
2011,4056,284,6926,1605,1011,149,NA,NA
2012,NA,559,NA,2362,1116,238,499,NA
2013,NA,198,1919,1267,495,104,711,NA
2014,3191,325,3726,2988,2050,NA,1722,NA
2015,8163,711,8333,2301,2131,NA,2401,6736
2016,NA,909,7062,2218,2693,NA,503,6326
2017,7207,648,7787,3669,2146,318,2611,8003
2018,NA,NA,6292,3322,NA,205,2252,5317
2019,8505,NA,10301,3828,NA,554,NA,4794
