"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"George",0.0192391195995046,0.0910474819511816,0.231256346442697,0.191907979326437,0.054865366712454,0.161429848259829,0.160318112008272,0.0899357456996251,191
1997,"George",0.112352248953975,0.0340219665271967,0.373208682008368,0,0.231504968619247,0.0775274581589958,0.171384675732218,0,269
1998,"George",0,0.131313131313131,0.131313131313131,0,0.313131313131313,0.373737373737374,0.0505050505050505,0,75
1999,"George",0,0.0707070707070707,0.464646464646465,0,0.0909090909090909,0.0707070707070707,0.303030303030303,0,54
2000,"George",0.0244316026685111,0.108927017559517,0.37974965974252,0,0.0893817354247083,0.119056650081439,0.254021731854794,0.0244316026685111,72
2001,"George",0.0166403672356907,0,0.314158657294506,0.0668483718261369,0.11289628460766,0.228374695165686,0.22679672930713,0.0342848945631904,62
2002,"George",0,0.014344756471772,0.320607386094318,0.0644349829110293,0.132237865167605,0.161638379084098,0.28879113202997,0.0179454982412081,315
2003,"George",0,0,0.22,0.13,0.09,0.17,0.35,0.04,23
2004,"George",0.00954170285423941,0.0352993770814009,0.338953977285036,0.0120231364138559,0.236777996380258,0.178174807147316,0.179687299983654,0.00954170285423941,268
2005,"George",0.00189977435225357,0.105634323823012,0.228755026871634,0.0140990207839013,0.103269514302474,0.35194442829739,0.180333239974,0.0140646715953348,471
2006,"George",0.0065779275016601,0.0394675650099606,0.251523011177618,0.0670564526391534,0.226911890940137,0.233510641989991,0.143390952862428,0.0315615578790522,222
2007,"George",0,0.0154486753967775,0.0909269205238066,0.00070907006215678,0.614492185142719,0.200787520366906,0.0643141632973266,0.0133214652103072,249
2008,"George",0,0.0652484909105712,0.198094883634376,0.020299530505511,0.190050283596382,0.425669834106778,0.0877229711131012,0.0129140061332806,288
2009,"George",0,0.034825884311049,0.332820649442319,0.0147625495403697,0.235717404977245,0.208521355572828,0.173352156156189,0,152
2010,"George",0,0.058202287103958,0.232822810924542,0.0432828275928026,0.348366647083738,0.215143524653997,0.0927137841050374,0.00946811853592557,161
2011,"George",0.018129117259552,0.115599472990777,0.258353096179183,0.011600790513834,0.309914361001318,0.200691699604743,0.0702766798418972,0.0154347826086957,165
2012,"George",0,0.114090624654912,0.178939522214451,0.0096348511061214,0.296881326609489,0.323512901682188,0.0769407737328376,0,137
2013,"George",0.23714953271028,0.298808411214953,0.250607476635514,0.00474299065420561,0.0806308411214953,0.0901168224299066,0.0379439252336449,0,85
2014,"George",0.00757796560769455,0.0756678166918588,0.448628442450164,0.0118753092528451,0.128825415330807,0.156758149024286,0.162072214352043,0.00859468729030115,155
2015,"George",0.0138714525682963,0.0419458933781275,0.185164883741491,0,0.510958359119441,0.17082928123066,0.0772301299619839,0,171
2016,"George",0.0378071833648393,0.157372400756144,0.119565217391304,0,0.314744801512287,0.347826086956522,0.0226843100189036,0,43
2017,"George",0.019656324447765,0.0789156881264185,0.128967140782926,0,0.277404530653096,0.444469191840877,0.0505871241489167,0,228
