"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Kogrukluk",0,0.0379547764366217,0.401465029644215,0.00397801546480784,0.0758931899211488,0.37623335751414,0.104475631019066,0,347
1977,"Kogrukluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Kogrukluk",0,0.00334575483373923,0.352127341821484,0.103879405362988,0.176797600265433,0.100477223362051,0.219330141812757,0.0440425325415473,514
1979,"Kogrukluk",0,0.00277065152178794,0.101427377828163,0.0276559055089128,0.658865716799111,0.134470916900698,0.0674378972862154,0.00737153415511232,383
1980,"Kogrukluk",0,0.0438831714741267,0.100449340484128,0.0365270329033193,0.304428177996811,0.437853312074214,0.0438831714741267,0.0329757935932744,118
1981,"Kogrukluk",0.00237619898319926,0.025994307743704,0.401845629813146,0.0258757448006753,0.0731638336092598,0.269439845670569,0.187378233696206,0.0139262056832406,785
1982,"Kogrukluk",0,0.0195967307187245,0.429557217359023,0.0414327492886213,0.0925374843753394,0.212710624374273,0.194366828524657,0.00979836535936226,391
1983,"Kogrukluk",0,0.00456242223143924,0.24885939444214,0.0352550808793032,0.194939858979676,0.237660721692244,0.264205723766072,0.0145167980091248,448
1984,"Kogrukluk",0,0.017988434991958,0.166654159204444,0.0291944450641836,0.212244873123627,0.458902845413852,0.103397499994929,0.0116177422070059,1374
1985,"Kogrukluk",0,0.0194302502681122,0.272992312614342,0.0194302502681122,0.168198736493002,0.331927433963284,0.176422346590243,0.0115986698029037,1041
1986,"Kogrukluk",0,0.0182445195856329,0.180173033874036,0.0404821285721008,0.08544807975423,0.562682764508561,0.0921435629919937,0.0208259107134454,678
1987,"Kogrukluk",0,0.00765171503957784,0.211279683377309,0,0.316332453825858,0.226846965699208,0.228825857519789,0.00906332453825858,411
1988,"Kogrukluk",0,0.0824632681742686,0.21,0.0661581704356714,0.0836949022614028,0.440146927302926,0.107536731825731,0.01,867
1989,"Kogrukluk",0,0.0198019801980198,0.316831683168317,0.0099009900990099,0.148514851485149,0.237623762376238,0.257425742574257,0.0099009900990099,217
1990,"Kogrukluk",0,0.130097057931453,0.0867667576584774,0,0.263882317258113,0.48913254473764,0.030121322414316,0,358
1991,"Kogrukluk",0.00250579964228161,0.0769979989020525,0.42960739520799,0.0149373992810214,0.0645663992633126,0.228001204200535,0.183383803502807,0,315
1992,"Kogrukluk",0.00294393305439331,0.0329439330543933,0.264719665271967,0.0170560669456067,0.189439330543933,0.391728870292887,0.0941121338912134,0.0070560669456067,349
1993,"Kogrukluk",0.00835206286549975,0.0230250005020914,0.225282038454727,0.0428895636186369,0.342889198461227,0.208126943322093,0.141083129910226,0.00835206286549975,313
1994,"Kogrukluk",0,0.0983734294341093,0.173837032251542,0.00791154651809349,0.100071138574738,0.475409108449956,0.144397744771561,0,222
1995,"Kogrukluk",0.0083888259631146,0.072668312675598,0.341875911331058,0.00150123773980198,0.183659679211468,0.1824731302154,0.208997511587982,0.00043539127557789,533
1996,"Kogrukluk",0,0.0463308650012206,0.152661730002441,0.0663308650012206,0.108604442997803,0.474805923997071,0.14,0.0112661730002441,482
1997,"Kogrukluk",0.00177831802629209,0.0180300179461863,0.290903643262107,0.00595127206790986,0.327878841508473,0.184237939107162,0.171219968081869,0,472
1998,"Kogrukluk",0,0.17,0.26,0.01,0.05,0.37,0.13,0.01,86
1999,"Kogrukluk",0,0.0362227866473149,0.468232946298984,0.0171081277213353,0.0482402031930334,0.221763425253991,0.208432510885341,0,304
2000,"Kogrukluk",0,0.0695274808984096,0.313981671706563,0.0202508186395908,0.103278845297728,0.422662054364924,0.0702991290927858,0,98
2001,"Kogrukluk",0,0.029012184791816,0.261511478899242,0.00894854586129754,0.158662930865967,0.31048956364979,0.21826198388393,0.0131133120479573,397
2002,"Kogrukluk",0,0.0394249707340911,0.211740461692635,0.0150804924007759,0.165907223351668,0.448609460446666,0.110759446619081,0.00847794475508325,466
2003,"Kogrukluk",0,0.0267877393032744,0.277352861177947,0.0288130557589706,0.184489590961398,0.371317501830735,0.109856679568993,0.00138257139868187,419
2004,"Kogrukluk",0.00321696921137566,0.0291921883071603,0.140613884876881,0.00606193870589281,0.436185983793664,0.322218523979423,0.0625105111256029,0,731
2005,"Kogrukluk",0.000993013016845329,0.149130934150077,0.186105474732006,0.00698219754977029,0.247113801684533,0.317734973200613,0.0889218032159265,0.00301780245022971,743
2006,"Kogrukluk",0,0.0773221359530978,0.230608989594887,0.0371161464110284,0.34585168752971,0.224981249669889,0.074840754238631,0.00927903660275709,707
2007,"Kogrukluk",0,0.0671700487651408,0.197108699071889,0.0302060720465628,0.321544753814692,0.252678936605317,0.12135913166588,0.00993235803051754,289
2008,"Kogrukluk",0.00208343872697558,0.0826416929333434,0.166675098158046,0.00896869783014709,0.361586056446942,0.327924789720326,0.0429975087524043,0.00712271743181591,295
2009,"Kogrukluk",0.0135378672526105,0.0923639198971866,0.181243281243597,0.01365556042441,0.210908265528406,0.426774355918863,0.0615167497349277,0,245
2010,"Kogrukluk",0,0.0559720775161492,0.185184413419462,0.01,0.452871431548239,0.23,0.0606480516774328,0.0053240258387164,298
2011,"Kogrukluk",0,0.0669077703903412,0.145362644487503,0,0.485705533241234,0.246632156713455,0.0553918951674665,0,268
2012,"Kogrukluk",0,0.167335329341317,0.185928143712575,0,0.037185628742515,0.376047904191617,0.233502994011976,0,87
2013,"Kogrukluk",0.0133253778838504,0.167703285841711,0.39930329548468,0,0.210047973771124,0.164774233986644,0.0448458330319906,0,61
2014,"Kogrukluk",0.00821274298056155,0.12173596112311,0.25875,0.0119762419006479,0.159646328293736,0.361592872570194,0.0780858531317495,0,105
2015,"Kogrukluk",0,0.081173681598432,0.0517258319288354,0,0.538337124847899,0.317194833463076,0.0115685281617579,0,225
2016,"Kogrukluk",0.0187259157391093,0.185755010242526,0.102068560459553,0,0.264833039666509,0.404071224948787,0.0245462489435157,0,201
2017,"Kogrukluk",0,0.140872675250358,0.231183508908831,0,0.310591754454415,0.269486279100013,0.0478657822863831,0,160
2018,"Kogrukluk",0,0.184759887804839,0.144039834132225,0,0.374908053316951,0.277985337030062,0.0183068877159231,0,199
2019,"Kogrukluk",0,0.102001367774798,0.0515133562333467,0,0.690208736442638,0.156276539549218,0,0,209
