"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Kwethluk",0.00913288261517138,0.015218714760727,0.224673460169738,0.0214399484027275,0.433452231695733,0.224716871336537,0.0703570981908913,0.00100879282847524,653
1993,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Kwethluk",0,0.018320348304308,0.163018446379468,0.0543824472960587,0.308893790100825,0.322788725939505,0.11024003208066,0.0223562098991751,301
2001,"Kwethluk",0,0,1,0,0,0,0,0,2
2002,"Kwethluk",0.00642050089965243,0.0605114049106494,0.126839817163804,0.0114663775858023,0.427457839269549,0.275841258842857,0.0820304205456029,0.00943238078208295,808
2003,"Kwethluk",0.00157915265048417,0.0339112999179094,0.122300902151675,0.0201410606442492,0.304535681246313,0.409932680081837,0.101312886251727,0.00628633705580611,1128
2004,"Kwethluk",0,0.0107840715858229,0.140970481153817,0.00314609456762966,0.546008923351925,0.236546652143861,0.0625437771969445,0,1144
2005,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Kwethluk",0,0.0316003696590618,0.340304918906666,0.0363487698374148,0.298517751855145,0.19535509937701,0.0863941053827242,0.0114789849819779,921
2007,"Kwethluk",0.00424606622410077,0.0950692140487358,0.148071993741826,0.0135065565508307,0.441360534542093,0.223162356957117,0.0710151290748477,0.00356814886044951,826
2008,"Kwethluk",0,0.0770911336704366,0.247139769174354,0.0200910950708303,0.199359246535685,0.344636584706836,0.0978326321071525,0.0138495387347049,567
2009,"Kwethluk",0,0.0598828283541266,0.470585328839401,0,0.140013058285835,0.181007252642538,0.148511531878099,0,488
2010,"Kwethluk",0.023854559473754,0.141946676626146,0.285772803392648,0.0451549943977929,0.161030324205149,0.266122911220076,0.0761177306844331,0,334
2011,"Kwethluk",0.0044273152555559,0.0289438933759175,0.300141264625495,0.0185025949697509,0.272809630562295,0.228075832488817,0.147099468722169,0,581
2012,"Kwethluk",0.0797366573780604,0.192593222862734,0.12959732828487,0,0.0424900555189211,0.494703367297016,0.0608793686583991,0,86
2013,"Kwethluk",0.0318112962562216,0.0908894178749189,0.354649065858761,0.028348842241939,0.251220274591839,0.0885089807400996,0.154572122436221,0,38
2014,"Kwethluk",0,0.0819623642522666,0.266078011357975,0.0150225415960945,0.129972227757298,0.406352744844077,0.100612110192289,0,478
2015,"Kwethluk",0,0.173075929211816,0.0355872805711487,0,0.508516288123956,0.268183708676745,0.0146367934163346,0,885
2016,"Kwethluk",0.0352004870452149,0.285168502644779,0.038584216029258,0,0.430364445699311,0.150670790080865,0.0600115585005713,0,53
2017,"Kwethluk",0.0195124515018752,0.139957603306565,0.0950637365421494,0,0.382466420228586,0.330857273000476,0.0321425154203485,0,294
