"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Salmon-Aniak",0.00300392955901615,0.00530636006403726,0.205316547809635,0.0166205792461068,0.359337796536166,0.29656090816475,0.100237228933197,0.0136166496870907,343
2007,"Salmon-Aniak",0,0.0251973265022171,0.156349557234438,0.00356943162165325,0.490429502100048,0.21769306789072,0.100912838250783,0.00584827640014044,402
2008,"Salmon-Aniak",0,0.0874074828546208,0.155360901745094,0.0173151354654716,0.203469817342296,0.457459088748557,0.0723331296258573,0.0066544442181028,219
2009,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2011,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2012,"Salmon-Aniak",0,0.0192885826512475,0.230365802813193,0.038577165302495,0.118935287792675,0.430493076737399,0.162340084702991,0,48
2013,"Salmon-Aniak",0,0.0572727402277229,0.17518133755148,0.0147492625368732,0.590412266826272,0.137004260898066,0.0253801319595856,0,76
2014,"Salmon-Aniak",0,0.153333011069754,0.190844491709769,0,0.112316914003964,0.431188669212549,0.112316914003964,0,45
2015,"Salmon-Aniak",0,0.0111617112580462,0.115076411087271,0,0.525244121381968,0.265231860577134,0.0832858956955817,0,147
2016,"Salmon-Aniak",0.0147070409958768,0.175197625863382,0.217322793287286,0.0147070409958768,0.229088426083988,0.243795467079864,0.105181605693726,0,36
2017,"Salmon-Aniak",0,0.0920520270453743,0.0979754760676367,0,0.503838410482992,0.2918278126685,0.0143062737354969,0,205
2018,"Salmon-Aniak",0.00294139410981205,0.139790217552168,0.0576069261506586,0,0.465646736717478,0.321768166346012,0.0122465591238715,0,198
2019,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
