"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2007,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2008,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2009,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2011,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2012,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2013,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2014,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2015,"Salmon-Pitka",0.00887987999073754,0.109323873990274,0.235242988552808,0,0.206710585045154,0.238954684421952,0.184074609785319,0.0168133782137548,195
2016,"Salmon-Pitka",0.00839709136895353,0.318270629149542,0.193186847929181,0,0.0888776478027189,0.343316471704078,0.0479513120455264,0,258
2017,"Salmon-Pitka",0.00633551139820837,0.185145448539802,0.418866462519651,0,0.0997936177980435,0.207497311567586,0.0823616481767089,0,151
2018,"Salmon-Pitka",0.0102227421938005,0.1999454787083,0.196855938845284,0,0.133827053919286,0.357250763866014,0.0967866513704154,0.00511137109690024,220
2019,"Salmon-Pitka",0,0.123644546786686,0.23443374502826,0.00728072011722839,0.155884446305212,0.287439815783965,0.191316725978648,0,151
