"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Takotna",0,0.0255984830528561,0.1910405309315,0,0.297523109741645,0.315981275183693,0.154301967290827,0.0155546337994785,77
2001,"Takotna",0,0.0427695333969742,0.389105846278458,0,0.0729410743729931,0.214324973241922,0.264557840840059,0.0163007318695941,86
2002,"Takotna",0.00896787868905919,0.0177727050383173,0.244121963150171,0.00440241317462906,0.196380238056416,0.333115930213599,0.195238871677809,0,98
2003,"Takotna",0,0.136473165388828,0.306243154435925,0.00970114223126271,0.110968549522766,0.334751994992959,0.101861993428258,0,61
2004,"Takotna",0.0274231678486998,0.0137115839243499,0.153735224586288,0.0167139479905437,0.385271867612293,0.213026004728132,0.190118203309693,0,69
2005,"Takotna",0,0.109864537148176,0.149695024863435,0,0.20902432452294,0.45043235431007,0.0809837591553781,0,170
2006,"Takotna",0,0.0487599992363352,0.160178697569637,0.0211153324805743,0.440920979781974,0.25668684014586,0.0677179785792016,0.0046201722064186,265
2007,"Takotna",0,0.037981592200253,0.0688183780297204,0.0141159542533925,0.515616859758367,0.285792254831427,0.0776749609268402,0,269
2008,"Takotna",0,0.0643852089387714,0.161464074556569,0,0.218408658182183,0.470838761398938,0.0813959314560577,0.00350736546748171,154
2009,"Takotna",0.0281977126331011,0.0789404495859077,0.33406730642829,0,0.277474694360457,0.205074273695281,0.0762455632969633,0,107
2010,"Takotna",0.0351463014318864,0.00967796706095421,0.0913464259437433,0,0.660422208387571,0.184051163053936,0.0193559341219084,0,74
2011,"Takotna",0.0766423357664233,0.126824817518248,0.135036496350365,0,0.338503649635036,0.284671532846715,0.0383211678832117,0,56
2012,"Takotna",0.023245397948672,0.231558203072513,0.069736193846016,0,0.355668025260895,0.319792179871904,0,0,42
2013,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2014,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2015,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2016,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2017,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
