"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Tatlawiksuk",0,0.198019801980198,0.0693069306930693,0,0,0.663366336633663,0.0693069306930693,0,15
1999,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Tatlawiksuk",0,0,0.106122448979592,0,0.0530612244897959,0.36734693877551,0.473469387755102,0,7
2001,"Tatlawiksuk",0,0.0267677992635548,0.302152007584945,0.0421802306352391,0.120620466121315,0.390338015125791,0.117941481269155,0,74
2002,"Tatlawiksuk",0.00549643420497212,0.0418208882273222,0.317962275888116,0.0435982315434005,0.183350736486637,0.158867832307658,0.243407167136922,0.00549643420497212,278
2003,"Tatlawiksuk",0,0.207920792079208,0.148514851485149,0.0297029702970297,0.0792079207920792,0.356435643564356,0.128712871287129,0.0495049504950495,39
2004,"Tatlawiksuk",0.018886250044309,0.0727269504803091,0.18884477686009,0,0.286065719045762,0.339860338165964,0.093615965403566,0,301
2005,"Tatlawiksuk",0,0.19677010811623,0.247071703027398,0.0102284679837146,0.124415950542728,0.291702741186488,0.124702161609079,0.00510886753436322,384
2006,"Tatlawiksuk",0,0.167436318475793,0.219887249467962,0.0212518747295351,0.216300810357399,0.274175860004387,0.0813677078208085,0.0195801791441156,178
2007,"Tatlawiksuk",0.00241550735677344,0.124398628873832,0.14555185823678,0.00406927795373451,0.34688088842561,0.318370885619212,0.0486158441246041,0.00969710940945355,275
2008,"Tatlawiksuk",0.00873406172812034,0.18539575869512,0.19412982042324,0,0.0980551414139166,0.394201028060259,0.119484189679343,0,93
2009,"Tatlawiksuk",0.111571428571429,0.145971428571429,0.168295238095238,0,0.208161904761905,0.267866666666667,0.0939047619047619,0.00422857142857143,93
2010,"Tatlawiksuk",0,0.167948312138083,0.20081181224049,0.0281713743087493,0.312417375761074,0.246690375556259,0.0439607499953451,0,79
2011,"Tatlawiksuk",0,0.122221063607925,0.116110531803962,0.0216684045881126,0.444994786235662,0.18555787278415,0.103336809176225,0.00611053180396246,123
2012,"Tatlawiksuk",0.00849832908117432,0.263052930396349,0.118536418843652,0,0.21631212044989,0.380852707607172,0.0127474936217615,0,91
2013,"Tatlawiksuk",0,0.133785374964473,0.363595761094645,0.00877014901132811,0.0524990864428113,0.298794104510942,0.142555523975801,0,66
2014,"Tatlawiksuk",0.0265335235378031,0.205067047075606,0.332519258202568,0,0.123144079885877,0.216125534950071,0.0966105563480742,0,94
2015,"Tatlawiksuk",0.0160657407314954,0.166448662519595,0.0821459596010025,0,0.364434703597568,0.334799452826232,0.0361054807241066,0,176
2016,"Tatlawiksuk",0,0.255325515568136,0.154181156490093,0,0.249882733522038,0.340610594419733,0,0,61
2017,"Tatlawiksuk",0,0.125419447092469,0.152335557673975,0,0.215419447092469,0.442993326978074,0.0638322211630124,0,129
2018,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
2019,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
