"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Tuluksak",0.00471881339107166,0.0345998359924614,0.224992447021249,0.0852263735631357,0.155130990231481,0.258642765685019,0.198535441453625,0.0381533326619574,340
1992,"Tuluksak",0.00700371057513915,0.02639146567718,0.115092764378479,0.0136178107606679,0.415222634508349,0.344823747680891,0.0764471243042672,0.00140074211502783,493
1993,"Tuluksak",0.00361390812542068,0.0242628756770431,0.108606973939205,0.00798673695717971,0.557156215696107,0.232026453807478,0.0645398817348566,0.00180695406271034,611
1994,"Tuluksak",0.0121133500138624,0.107876929185335,0.133530943978751,0.0266432089595663,0.178215822314714,0.412189336555345,0.114589073682986,0.0148413353094398,458
1995,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Tuluksak",0.0697110667328493,0.190975308499463,0.516328250354962,0,0,0,0.153274307679876,0.0697110667328493,22
2002,"Tuluksak",0.0817874649730505,0.0416552682750105,0.192942115886524,0.0289605406164743,0.260962788256083,0.276740626825283,0.110540986151878,0.00641020901569651,191
2003,"Tuluksak",0,0.0666006880625854,0.17195909326547,0.0456854705688298,0.337574815024271,0.340364767425421,0.0378151656534238,0,224
2004,"Tuluksak",0.0291048348492101,0.0827942282705327,0.244436846064419,0.00642822950147029,0.228434657730972,0.342699856390618,0.0616904875880462,0.00441085960473227,253
2005,"Tuluksak",0.0688208124887218,0.112336298611298,0.23071193546777,0.00166244975216829,0.277341155421775,0.206600654997524,0.100864243508575,0.00166244975216829,439
2006,"Tuluksak",0.0118132001357839,0.0699190145967703,0.190592114834392,0.0237427864798021,0.350225498278454,0.249435041947529,0.0924591435914844,0.0118132001357839,149
2007,"Tuluksak",0.0169211501052575,0.0476723425800091,0.3749833453247,0.0420230767180963,0.132304740586778,0.213552908572494,0.165773976070563,0.00676846004210302,195
2008,"Tuluksak",0.0593483652119381,0.121219463527265,0.299122031869103,0.0312134773809184,0.0681993101678972,0.371426128103532,0.0456372395313703,0.00383398420797583,255
2009,"Tuluksak",0.00886594467201616,0.126031086919926,0.332669322709163,0.00886594467201616,0.175635486224118,0.235508669547163,0.112423545255597,0,220
2010,"Tuluksak",0.0211803640375069,0.249696635410921,0.217650303364589,0.00353006067291782,0.298124655267512,0.206287920573635,0.00353006067291782,0,85
2011,"Tuluksak",0.0338930588872553,0.0338930588872553,0.135572235549021,0,0.101679176661766,0.197709510175656,0.497252959839047,0,19
2012,"Tuluksak",0,0.511019283746556,0.488980716253444,0,0,0,0,0,3
2013,"Tuluksak",0,0,0.287128712871287,0,0.425742574257426,0.287128712871287,0,0,7
2014,"Tuluksak",0,0.0756054153689697,0.206794635479565,0.0320345770037501,0.207271340494502,0.439394902434374,0.0388991292188394,0,52
2015,"Tuluksak",0.00580856726909107,0.142302545475935,0.0993632633854389,0,0.484272752672676,0.260312045056836,0.00794082614002323,0,167
2016,"Tuluksak",0.0750809061488673,0.228676430256157,0.0239482200647249,0,0.383368986890461,0.282595578958916,0.00632987768087324,0,213
2017,"Tuluksak",0.562939081897796,0.152215057902672,0.0260481827222276,0,0.0539088313604722,0.118644339652905,0.0779199948673532,0.00832451159657396,136
2018,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2019,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
