location,year,date,chinook,chum,sockeye,coho
Akiachak,1989,4/30/2014,12,0,0,0
Akiachak,1989,6/1/2014,8,5,4,0
Akiachak,1989,6/2/2014,10,1,0,0
Akiachak,1989,6/3/2014,10,5,0,0
Akiachak,1989,6/5/2014,4,0,1,0
Akiachak,1989,6/6/2014,4,0,2,0
Akiachak,1989,6/7/2014,21,16,15,0
Akiachak,1989,6/8/2014,38,30,12,0
Akiachak,1989,6/9/2014,8,18,1,0
Akiachak,1989,6/10/2014,19,17,4,0
Akiachak,1989,6/12/2014,29,0,2,0
Akiachak,1989,6/13/2014,79,70,14,0
Akiachak,1989,6/14/2014,52,11,1,0
Akiachak,1989,6/15/2014,41,10,11,0
Akiachak,1989,6/16/2014,112,9,2,0
Akiachak,1989,6/17/2014,25,0,0,0
Akiachak,1989,6/18/2014,20,8,2,0
Akiachak,1989,6/19/2014,35,13,18,0
Akiachak,1989,6/20/2014,6,6,21,0
Akiachak,1989,6/21/2014,68,75,13,0
Akiachak,1989,6/22/2014,40,12,5,0
Akiachak,1989,6/23/2014,18,35,27,0
Akiachak,1989,6/24/2014,3,38,12,0
Akiachak,1989,6/25/2014,8,19,14,0
Akiachak,1989,6/26/2014,0,20,6,0
Akiachak,1989,6/27/2014,26,248,50,0
Akiachak,1989,6/28/2014,10,139,31,0
Akiachak,1989,6/29/2014,9,40,1,0
Akiachak,1989,7/1/2014,3,40,0,0
Akiachak,1989,7/3/2014,0,0,25,0
Akiachak,1989,7/4/2014,2,49,0,0
Akiachak,1989,7/5/2014,0,50,0,0
Akiachak,1989,7/6/2014,3,9,2,0
Akiachak,1989,7/9/2014,0,6,0,0
Akiachak,1989,7/10/2014,0,1,0,0
Akiachak,1989,7/14/2014,19,5,2,0
Akiachak,1989,7/15/2014,22,10,1,0
Akiachak,1989,7/16/2014,6,17,3,0
Akiachak,1989,7/17/2014,0,2,0,0
Akiachak,1989,7/19/2014,1,10,0,0
Akiachak,1989,7/27/2014,16,0,0,0
Akiachak,1989,7/28/2014,24,0,0,14
Akiachak,1989,7/29/2014,9,4,0,17
Akiachak,1989,8/5/2014,0,0,0,30
Akiachak,1990,6/4/2014,9,0,1,0
Akiachak,1990,6/5/2014,12,0,0,0
Akiachak,1990,6/6/2014,11,0,0,0
Akiachak,1990,6/7/2014,12,0,0,0
Akiachak,1990,6/8/2014,3,0,0,0
Akiachak,1990,6/9/2014,11,3,0,0
Akiachak,1990,6/10/2014,31,2,0,0
Akiachak,1990,6/11/2014,43,1,5,0
Akiachak,1990,6/12/2014,76,2,4,0
Akiachak,1990,6/13/2014,32,0,4,0
Akiachak,1990,6/14/2014,11,2,2,0
Akiachak,1990,6/15/2014,56,2,6,0
Akiachak,1990,6/16/2014,31,0,0,0
Akiachak,1990,6/18/2014,7,2,17,0
Akiachak,1990,6/19/2014,66,25,11,0
Akiachak,1990,6/20/2014,13,4,0,0
Akiachak,1990,6/21/2014,33,29,12,0
Akiachak,1990,6/22/2014,20,0,4,0
Akiachak,1990,6/23/2014,49,71,15,0
Akiachak,1990,6/24/2014,14,9,2,0
Akiachak,1990,6/25/2014,8,22,15,0
Akiachak,1990,6/27/2014,1,9,10,0
Akiachak,1990,6/28/2014,1,9,13,0
Akiachak,1990,7/1/2014,1,9,5,0
Akiachak,1990,7/3/2014,0,12,9,0
Akiachak,1990,7/6/2014,3,11,14,0
Akiachak,1990,7/8/2014,0,4,2,0
Akiachak,1990,7/9/2014,0,4,0,0
Akiachak,1990,7/12/2014,3,15,3,0
Akiachak,1990,7/19/2014,3,54,7,1
Akiachak,1990,7/24/2014,1,6,4,6
Akiachak,1990,7/25/2014,0,7,3,11
Akiachak,1990,8/2/2014,0,0,0,2
Akiachak,1991,5/1/2014,41,0,0,0
Akiachak,1991,6/1/2014,18,0,0,0
Akiachak,1991,6/2/2014,28,1,0,0
Akiachak,1991,6/3/2014,17,0,0,0
Akiachak,1991,6/4/2014,38,0,0,0
Akiachak,1991,6/5/2014,39,0,0,0
Akiachak,1991,6/6/2014,30,1,0,0
Akiachak,1991,6/7/2014,21,0,0,0
Akiachak,1991,6/8/2014,75,6,0,0
Akiachak,1991,6/9/2014,8,3,0,0
Akiachak,1991,6/10/2014,25,1,1,0
Akiachak,1991,6/11/2014,59,11,3,0
Akiachak,1991,6/12/2014,3,1,0,0
Akiachak,1991,6/13/2014,49,9,6,0
Akiachak,1991,6/14/2014,9,2,5,0
