"year","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,NA,NA,NA,NA,NA,NA,NA,NA,0
1977,NA,NA,NA,NA,NA,NA,NA,NA,0
1978,NA,NA,NA,NA,NA,NA,NA,NA,0
1979,NA,NA,NA,NA,NA,NA,NA,NA,0
1980,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,NA,NA,NA,NA,NA,NA,NA,NA,0
1982,NA,NA,NA,NA,NA,NA,NA,NA,0
1983,NA,NA,NA,NA,NA,NA,NA,NA,0
1984,NA,NA,NA,NA,NA,NA,NA,NA,0
1985,NA,NA,NA,NA,NA,NA,NA,NA,0
1986,NA,NA,NA,NA,NA,NA,NA,NA,0
1987,NA,NA,NA,NA,NA,NA,NA,NA,0
1988,NA,NA,NA,NA,NA,NA,NA,NA,0
1989,NA,NA,NA,NA,NA,NA,NA,NA,0
1990,NA,NA,NA,NA,NA,NA,NA,NA,0
1991,NA,NA,NA,NA,NA,NA,NA,NA,0
1992,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,NA,NA,NA,NA,NA,NA,NA,NA,0
1995,NA,NA,NA,NA,NA,NA,NA,NA,0
1996,NA,NA,NA,NA,NA,NA,NA,NA,0
1997,NA,NA,NA,NA,NA,NA,NA,NA,0
1998,NA,NA,NA,NA,NA,NA,NA,NA,0
1999,NA,NA,NA,NA,NA,NA,NA,NA,0
2000,NA,NA,NA,NA,NA,NA,NA,NA,0
2001,0,0.0382773075372833,0.271322853688029,0.0209286577992745,0.04936638452237,0.268137041515518,0.332277307537283,0.0196904474002418,1059
2002,0.0145824420442872,0.0740889024123334,0.275149221804571,0.0287485043502531,0.0632439642096449,0.261079247130526,0.260040585585483,0.0230671324629014,2012
2003,0.00163104308705682,0.0877263001875659,0.233343767073851,0.043392022453195,0.068639796968529,0.352314158049443,0.18622376108719,0.026729151093169,2031
2004,0.00828567927699865,0.0595355499061987,0.255540341681666,0.0164964127112908,0.131123105089537,0.309816596816348,0.209179795076653,0.0100225194413085,2026
2005,0.0133269846856125,0.128648100322435,0.222832359471475,0.00987361360542809,0.0517332843383346,0.364141095245242,0.200259293954466,0.00918526837700616,2407
2006,0,0.0737319707551072,0.320602572409909,0.0230686808881887,0.0624143271175937,0.284681723918386,0.215909074866982,0.0195916500438335,1699
2007,0.00300605272778974,0.0991184953487427,0.34208067595564,0.0212048584311655,0.0544745501076492,0.269407320144615,0.202217979445099,0.00849006783929805,2080
2008,0,0.102249062890462,0.209220620440408,0.0151415404871626,0.0766817589445258,0.450793352232269,0.136320887802125,0.00959277720304712,2783
2009,0.00045770906263944,0.0757888006182522,0.295923859292414,0.00948308776513775,0.096105102881037,0.273056806524769,0.24242480001104,0.00675983384471012,3637
2010,0,0.156446529462172,0.275878345993522,0.0184819392601415,0.0796902005780599,0.324915397016746,0.139903559861149,0.00468402782820874,1800
2011,0.00953703973281316,0.0993965004512729,0.21367460934738,0.00953703973281316,0.136804322237981,0.381381768573936,0.141167320353865,0.00850139956993898,1025
2012,0,0.0918557492053053,0.197248712046476,0.0149256458036465,0.124100259417589,0.439256092659578,0.12322335489057,0.0093901859768351,294
2013,0.00992691785401834,0.0475637811836303,0.366320942850999,0.00730821459816602,0.0470158860142394,0.246529260842286,0.268026782058495,0.00730821459816602,595
2014,0.0839914883168965,0.155870196832672,0.162632483529075,0,0.245907844661783,0.259432418054589,0.0921655686049843,0,104
2015,0.0753402081273249,0.182488110373405,0.154117813250459,0,0.274662146254179,0.157625841691388,0.155765880303244,0,231
2016,0.00649176457964483,0.0603895058747787,0.0331133644508826,0,0.418498846504641,0.432491013466388,0.0490155051236654,0,227
2017,0.0452571428571429,0.140114285714286,0.0500571428571429,0,0.324742857142857,0.334914285714286,0.0998857142857143,0.00502857142857143,168
2018,0.035,0.115,0.09,0,0.46,0.23,0.07,0,768
2019,0.123745819397993,0.20066889632107,0.0903010033444816,0,0.387959866220736,0.177257525083612,0.020066889632107,0,1176
