"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"George",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"George",566.498823727105,748.731195237295,857.755990589817,889.111216202159,598.931608133087,713.562644933625,853.722572303441,944.197109729457,191
1997,"George",547.234072839817,708.003693776151,845.186397538712,NA,584.850739481636,745.656467921897,846.239895688052,NA,269
1998,"George",NA,727.6,846.2,NA,542.130434782609,676.785714285714,791.75,NA,75
1999,"George",NA,843.75,837.2,NA,498,767.5,830.625,NA,54
2000,"George",580,785.459641255605,851.774103139014,NA,556.370515695067,715.77802690583,858.45131326073,940,72
2001,"George",458,NA,821.19873015873,877.45,559.307142857143,694.923469387755,860.690158730159,900.785714285714,62
2002,"George",NA,653.333333333333,844.29033668914,897.835205661212,483.705492033739,695.567560137457,817.176178531312,896.78718721038,315
2003,"George",NA,NA,884.6,873.333333333333,603.5,751.5,831.875,994,23
2004,"George",589.620227038184,788.995812726673,840.296259459527,928.393372898121,601.189979988664,710.118173843379,846.984693372898,817.450257997936,268
2005,"George",594.311118130133,758.574935582323,834.482392624076,827.932755450486,539.121745455696,710.594945833433,826.624081718457,852.527637397347,471
2006,"George",595,652,851.185942078248,842.544846107043,537.333648087494,669.194824609015,845.165260344026,834.515085335275,222
2007,"George",NA,716.782839787396,842.168212387461,940,522.433326442997,668.49798670072,811.925841559099,959.286256643888,249
2008,"George",NA,779.145299145299,829.699181567812,789.74358974359,505.237031229583,684.48580266903,771.527777777778,862.126024590164,288
2009,"George",NA,838.204972375691,844.135696482588,883.104668019716,537.122498234537,716.030319956287,818.776027122049,NA,152
2010,"George",NA,760.250107250107,833.269474637681,868.6,500.533217261535,632.352071535022,743.527027027027,941.07063197026,161
2011,"George",582.333333333333,745.700043917435,828.039033046444,763.752409638554,531.064369349118,692.529357513756,755.158322353975,855.5,165
2012,"George",NA,806.205381784729,840.874242878561,862.5,558.100857643114,668.720311473255,817.073482060718,NA,137
2013,"George",492,758.25,841.660606060606,826,499.461538461538,699,837.833333333333,NA,85
2014,"George",461,732.110874921494,854.178481309019,839.579790940767,526.777777777778,696.84696089818,798.435608389697,962.5,155
2015,"George",481.5,777.986977753663,843.536794130725,NA,524.400930897028,700.815873721654,808.533397870281,NA,171
2016,"George",507.5,783.819047619048,818,NA,550.404761904762,672.388888888889,659,NA,43
2017,"George",557,738.347488909208,803.172110371649,NA,531.622378512243,640.883949309774,745.280846431837,NA,228
2018,"George",NA,736.214372180037,794.021553081261,NA,528.695308239388,674.334353996662,810.513040607461,NA,212
2019,"George",598.121320890165,769.223977027997,778.333772045275,NA,542.989353051952,697.064501119124,783.633456172677,NA,201
