"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Kogrukluk",NA,832.039392207792,905.94685477208,982,586.459799847212,729.442898344267,942.698461432507,NA,347
1977,"Kogrukluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Kogrukluk",NA,868.305503132785,923.014244568528,928.265806536887,582.282874694001,725.463109209052,936.621476378735,963.305672982562,514
1979,"Kogrukluk",NA,850.745739033249,905.659476409713,985.148884050082,606.087847514338,723.919250597071,905.368287235054,992.354470935796,383
1980,"Kogrukluk",NA,836.914590747331,931.6,982.5,586.98487544484,711.297034400949,739.395017793594,900.165480427046,118
1981,"Kogrukluk",544,808.138044131982,914.186799781299,967.774995903898,575.085638086197,731.17631692762,880.143214420792,979.780034480316,784
1982,"Kogrukluk",NA,659.873438129786,872.094503379279,960.661880290206,545.974577648499,679.21635815574,819.805959952301,978.899939540508,391
1983,"Kogrukluk",NA,693.166666666667,880.993711995578,928.858333333333,551.171568627451,657.035575962019,865.117477203647,1016.66666666667,447
1984,"Kogrukluk",568,756.033418107833,865.558560905307,924.396704765324,539.248805584899,661.411254301263,828.122825794206,975.248084096304,1374
1985,"Kogrukluk",NA,766.518922589407,874.495359723608,904.787188773201,543.869598988225,684.061775126137,802.488618692604,900.828542326845,1041
1986,"Kogrukluk",NA,807.777777777778,869.846823879422,897.877883310719,537.880076080636,671.511135604303,811.042395460713,945.017205781142,678
1987,"Kogrukluk",NA,810,867.189793480116,NA,555.646378028304,716.899030778353,825.411033441182,974.672489082969,411
1988,"Kogrukluk",NA,812.457396637059,863.420602541171,906.416723703663,572.117079396293,722.527966308817,828.716362991948,868.1171159661,867
1989,"Kogrukluk",NA,798.75,886.811594202899,917.5,570.125,698.529411764706,836.491228070175,830,217
1990,"Kogrukluk",NA,831.426773257074,864.075174400971,852,582.445376749426,730.53159507759,855.033484986351,NA,358
1991,"Kogrukluk",1010,822.713393653626,890.245306125739,944.481118049361,553.173205585672,760.106188257839,859.610230313843,NA,315
1992,"Kogrukluk",635,793.933054393305,890.243938633194,904.112133891213,588.938242677824,729.173577737929,835.198003376642,872.5,347
1993,"Kogrukluk",620,781.076164215686,878.37483765585,906.785320378151,587.695004471383,701.472346047794,816.801324004818,895,313
1994,"Kogrukluk",NA,836.990495000617,873.979011997343,867.5,588.85363644285,736.513398170481,844.721194914208,NA,222
1995,"Kogrukluk",616.651411136537,780.174464778026,881.013896904922,962.5,595.778262383143,727.043582112385,859.153600851008,775,533
1996,"Kogrukluk",NA,785.728277321182,851.973350693032,903.679922230101,578.23151366495,722.800597344037,814.708556534068,930.658963300513,482
1997,"Kogrukluk",620,762.354195840465,881.066806752574,888.333333333333,614.384003867612,723.40171702641,837.435645379982,NA,472
1998,"Kogrukluk",NA,818,860.681818181818,870,557.5,749.0625,835.909090909091,820,86
1999,"Kogrukluk",NA,791.221516690856,848.057095889263,914.679548044056,586.286329825835,691.427405142028,790.582265631447,NA,304
2000,"Kogrukluk",NA,784.660026560425,848.498229305002,825,587.451444223108,670.860564476102,831.132691456397,NA,98
2001,"Kogrukluk",560,719.054089462849,857.575623865279,884.662251655629,558.21139873574,680.414230979748,825.583266669474,800.288040426727,397
2002,"Kogrukluk",NA,785.888063580926,856.578153517222,881.452385128025,565.466170787062,684.626905965956,772.924633900153,940.972641178534,466
2003,"Kogrukluk",NA,772.334174593529,850.671155631772,891.602356973003,547.805904443917,703.276681919236,818.286423698064,1008,419
2004,"Kogrukluk",533.333333333333,766.007309867477,856.142435142169,865.228422320353,594.260671559429,690.985761932487,791.026725363773,NA,731
2005,"Kogrukluk",622.288896504455,780.354538741138,833.727710951561,894.562942654786,554.094727271669,710.898794548205,803.445854661279,744.791243823389,743
2006,"Kogrukluk",NA,781.490441687399,853.526254175112,877.015981125356,558.750572659212,692.394413754083,793.862252699547,814.069733796296,707
2007,"Kogrukluk",NA,793.704677436385,860.333662943631,845.44314222363,546.541134798617,686.372809447151,770.352856868194,791.991130820399,289
2008,"Kogrukluk",500,773.994420379538,835.910494321491,898.266029699551,537.459058256414,700.273748747643,781.176048501592,862,295
2009,"Kogrukluk",727.130013911431,810.137250276974,847.629462281325,848.720785995827,584.984855444884,708.570348135009,829.994341257102,NA,245
2010,"Kogrukluk",NA,816.464367576579,852.780484673046,873.136590956449,549.664215175547,704.339357315602,771.988330902271,878,298
2011,"Kogrukluk",NA,816.42779965667,862.257497136936,NA,550.587642536852,719.25388819295,813.926144771046,NA,268
2012,"Kogrukluk",NA,792.454545454545,840.08,NA,546.6,690.788622754491,777.845808383233,NA,87
2013,"Kogrukluk",533,785.330011933174,883.254545971133,NA,553.633900159109,757.816129673826,805.674224343675,NA,61
2014,"Kogrukluk",540,819.507744107744,844.767026637869,945,547.47667500695,692.275758899612,788.845428045413,NA,105
2015,"Kogrukluk",NA,763.41322510206,884.577096566326,NA,556.654466230937,685.844555622668,850.483424047501,NA,225
2016,"Kogrukluk",516.655717329545,764.533756083098,826.571148758649,NA,591.479870520035,702.26395030623,778.93244492374,NA,201
2017,"Kogrukluk",NA,799.673211008512,843.17333113166,NA,559.546180096874,723.128342521085,864.437950318637,NA,160
2018,"Kogrukluk",NA,766.758190001607,827.563555341228,NA,559.674606160426,699.052199539195,788.469209937596,NA,199
2019,"Kogrukluk",NA,775.015217750948,840.965811007735,NA,568.403599489281,745.764094113764,NA,NA,209
