"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Kwethluk",679.381931333473,717.122348405388,877.900309356421,916.304332142986,513.596907102629,668.992822046482,802.489848362252,886.833487797343,653
1993,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Kwethluk",NA,816.905878674171,873.850621481523,885.5,505.338757825882,675.848496645661,820.596331240679,925.700958932666,301
2001,"Kwethluk",NA,NA,900,NA,NA,NA,NA,NA,2
2002,"Kwethluk",728.75,727.714446318156,851.533750064247,925.265317594154,546.216482364495,667.941192421222,753.435666825212,820.817535545024,808
2003,"Kwethluk",601.248374512354,800.374907342385,859.478554290396,894.911200842697,538.930326393152,696.135757118489,805.998259904728,871.633207368918,1128
2004,"Kwethluk",940,799.003594835073,867.452877339346,902.877631800573,588.426399007902,686.355666649573,787.952165365429,685,1144
2005,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Kwethluk",625,775.087788058762,860.355966684544,869.314024773642,562.920616999878,686.470053979223,806.200573231053,822.106545523139,921
2007,"Kwethluk",514.954499494439,745.161304265892,836.040595098654,837.845077908273,546.742354193996,674.097919535629,819.345817960779,750.918196994992,826
2008,"Kwethluk",820,795.849098844491,875.226842029091,800.695210649101,552.570850677767,696.600335523568,795.03750933931,775.59558117195,567
2009,"Kwethluk",NA,811.768888226958,857.809704878912,922.35049833887,580.572966200632,709.957162827769,829.986566740902,760,488
2010,"Kwethluk",525,766.887017466608,844.494205399236,885.116726835138,563.128221854515,729.751431087627,790.391172914148,NA,334
2011,"Kwethluk",650,793.85794282346,872.815014925825,897.543103448276,572.525304511923,685.499646913787,813.925339366516,995,581
2012,"Kwethluk",522.99466080402,768.155489205329,828.574776785714,NA,623.853236607143,719.742765273312,805.825892857143,NA,86
2013,"Kwethluk",510,720,869.812904530744,885,624.36286407767,746.867704280156,834.104444444444,NA,38
2014,"Kwethluk",NA,763.597264273356,872.985271382916,920.174632352941,606.15569057478,706.951159823036,788.816040779455,NA,477
2015,"Kwethluk",NA,829.068309250649,887.235110901368,NA,582.026587501059,709.547512667596,786.664642226148,NA,885
2016,"Kwethluk",766.555023923445,785.143833413732,874.669561022672,NA,593.247439893143,738.223187007557,672.572358900145,NA,53
2017,"Kwethluk",754.608964153037,778.154165530716,842.049374914606,NA,558.949742590093,653.615396698561,755.582573454914,NA,293
2018,"Kwethluk",NA,775.875502754821,785.068005344628,NA,570.148153829671,666.046420369911,661.844247682434,NA,284
2019,"Kwethluk",NA,NA,NA,NA,NA,NA,NA,NA,0
