"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Salmon-Aniak",513,770.666666666667,849.038581116596,857.948021015762,548.754491208108,685.703841733623,790.923056323679,702.144570928196,343
2007,"Salmon-Aniak",NA,753.468558394161,851.999441084463,839.853658536585,534.411500036774,671.853285599161,780.894112346823,669,402
2008,"Salmon-Aniak",NA,716.45334103601,830.594266441821,882,524.008303677343,668.543480060369,758.602962029305,751,219
2009,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2011,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
2012,"Salmon-Aniak",NA,771,851.656677018633,825.5,539.417832167832,717.877643568553,829.653346653347,NA,48
2013,"Salmon-Aniak",NA,815.338524590164,865.202322404372,560,521.196058001216,685.604508196721,829.299180327869,NA,76
2014,"Salmon-Aniak",NA,779.862275449102,873.309840425532,NA,578.911170212766,693.185628742515,722.935372340426,NA,45
2015,"Salmon-Aniak",NA,745.068219633943,834.211053089643,NA,528.582160105121,670.735636060342,772.373114302292,NA,147
2016,"Salmon-Aniak",570,688.812260536398,820.920424403183,880,603.81100795756,602.200265251989,805.075596816976,NA,36
2017,"Salmon-Aniak",NA,735.477271070947,842.737802679031,NA,510.022736039245,661.312465905992,731.52747513027,NA,205
2018,"Salmon-Aniak",557,751.170050982057,837.537153493319,NA,544.321933623837,683.008368763169,787.5,NA,198
2019,"Salmon-Aniak",NA,NA,NA,NA,NA,NA,NA,NA,0
