"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2007,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2008,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2009,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2011,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2012,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2013,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2014,"Salmon-Pitka",NA,NA,NA,NA,NA,NA,NA,NA,0
2015,"Salmon-Pitka",513,744.958455443654,785.738437306095,NA,542.889475051924,708.12510500209,823.05401715113,881.5,195
2016,"Salmon-Pitka",716.5,713.983386168337,790.94379544736,NA,577.629995579134,704.521308009232,766.674711495783,NA,258
2017,"Salmon-Pitka",598,712.546196603642,775.428429076941,NA,521.17331495098,703.272639318885,790,NA,151
2018,"Salmon-Pitka",574,685.459724367352,736.837935748462,NA,521.178724604966,679.013863452447,772.66706539075,765,220
2019,"Salmon-Pitka",NA,710.279131622457,772.97063581175,848,548.688855342295,691.013772495037,797.142967244701,NA,151
