"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Takotna",NA,751.178082191781,831.300879120879,NA,502.621436588103,669.41124260355,778.63683127572,895,77
2001,"Takotna",NA,787.431259044862,866.291180726994,NA,515.125904486252,682.658476954787,809.410194565043,851.169230769231,86
2002,"Takotna",617.545454545455,817.607142857143,866.291234823808,827,556.045276872964,674.447761933056,765.37797017797,NA,98
2003,"Takotna",NA,820.904088050314,858.787643359231,975,508.704402515723,717.090109314166,764.444444444444,NA,61
2004,"Takotna",621.5,707,862.689125295508,903,577.860717100079,678.461780929866,738.372734436564,NA,69
2005,"Takotna",NA,714.101494612444,814.568532035685,NA,543.024195728575,687.366444514969,747.32197891322,NA,170
2006,"Takotna",NA,786.269120458891,854.871269151499,844.14850223072,559.924280867596,686.680839217816,784.17252851711,813,265
2007,"Takotna",NA,719.653034300791,828.234828496042,902.491124260355,535.10399789979,670.078265053908,768.415841584158,NA,269
2008,"Takotna",NA,746.329073482428,858.606467148263,NA,537.233395989975,692.079718527087,756.779635258359,677,154
2009,"Takotna",787.345029239766,806.268426842684,844.076839448651,NA,576.905853743269,671.865384615385,783.887912087912,NA,107
2010,"Takotna",541,594,859.125730994152,NA,537.934517045455,659.070175438596,777.5,NA,74
2011,"Takotna",514.3,754.8,803.866666666667,NA,578,695.626262626263,764,NA,56
2012,"Takotna",650,734.556888888889,845,NA,588.142857142857,685.560377358491,NA,NA,42
2013,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2014,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2015,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2016,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
2017,"Takotna",NA,NA,NA,NA,NA,NA,NA,NA,0
