"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Tuluksak",516.666666666667,798.093510536398,863.834006712729,885.391715116279,516.652640941434,596.180146425495,742.751648545253,850.580486918605,340
1992,"Tuluksak",525.411671207993,790.930774152271,869.955509339986,927.337420526794,536.818461710703,671.208168649827,836.889105297687,840.675749318801,493
1993,"Tuluksak",492.220708446866,811.97647601476,870.578422960803,902.533936651584,535.631399478232,670.425558092725,821.594219492731,721.185286103542,611
1994,"Tuluksak",592.638646668992,788.880176776848,858.999100031428,849.789947271894,542.595628415301,703.51639920632,792.117932382538,814,458
1995,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"Tuluksak",560,697.933333333333,759.682703321879,NA,NA,NA,876.662030598053,850,22
2002,"Tuluksak",539.983766233766,768.266365688488,850.04304961023,906.205371248025,540.862166500662,667.392125837677,792.008527715074,915,191
2003,"Tuluksak",NA,769.984205330701,882.090731076984,918.15695399973,534.535200923303,672.159917791479,756.84526159921,NA,224
2004,"Tuluksak",594.843640196767,791.794799718904,864.895157860393,875,596.159090578384,705.905156103499,805.570976809557,1160,253
2005,"Tuluksak",571.66321332988,746.099755719321,832.273875488918,851.071038251366,554.639220826886,682.913619560543,783.892649939416,820,439
2006,"Tuluksak",620,765.363372093023,850.67352651655,922.900485436893,549.667175591167,688.638524132465,814.598261327713,890,149
2007,"Tuluksak",528.333333333333,754.372781065089,860.591577540107,887.269736842105,526.997230710466,693.130541930517,791.658918005072,730,195
2008,"Tuluksak",526.628548895899,748.833469582397,810.859897980931,888.456657088122,525.613896848138,711.390965356483,797.727011494253,755,255
2009,"Tuluksak",580,777.908938547486,855.798003122356,825.5,595.626794258373,655.738321219038,759.534357541899,NA,220
2010,"Tuluksak",577,782.191256830601,845.669803921569,855,587.1885984345,778.441176470588,760,NA,85
2011,"Tuluksak",476,770,887.75,NA,554.333333333333,711.333333333333,838.52140077821,NA,19
2012,"Tuluksak",NA,639.338842975207,740,NA,NA,NA,NA,NA,3
2013,"Tuluksak",NA,NA,910,NA,480.666666666667,712.5,NA,NA,7
2014,"Tuluksak",NA,649.26517571885,918.431309904153,970,575.458633093525,710.40917266187,683.63309352518,NA,52
2015,"Tuluksak",572.5,837.072469325153,905.359220477021,NA,578.441908034692,717.397835422829,945,NA,167
2016,"Tuluksak",786.847683566434,815.736185055994,879.491329479769,NA,679.981298129813,729.381789594054,790,NA,213
2017,"Tuluksak",588.89235948806,701.329231433506,846.25,NA,607.150259067357,811.155427631579,909.582037996546,835,136
2018,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
2019,"Tuluksak",NA,NA,NA,NA,NA,NA,NA,NA,0
