length,weight,girth,fecundity,district
690,10.6,470,4015,5
720,10.9,395,5122,5
720,9.6,350,3149,5
725,10.6,377,4009,5
750,12,400,3240,5
760,13.8,435,3616,5
760,11.4,383,3527,5
765,13.6,425,2553,5
765,12.6,435,5712,5
770,14.9,440,4039,5
770,13.7,425,5846,5
770,15.7,445,4983,5
770,13.1,405,4219,5
770,10.6,371,2443,5
770,13.4,421,4507,5
780,13.9,438,5768,5
785,13.1,427,2727,5
790,14.1,415,4471,5
790,10.1,366,3690,5
790,14.4,440,2938,5
790,13.2,413,5390,5
800,12.9,435,4551,5
800,12.8,401,2519,5
805,15,455,4814,5
805,14.2,410,3393,5
810,16.6,470,5658,5
810,14.2,447,4485,5
810,15.4,454,4559,5
815,14.1,435,4843,5
820,14.3,410,3450,5
825,14.1,421,5790,5
825,14.1,422,3078,5
825,15.2,443,5018,5
830,17.4,459,5292,5
835,17.5,460,5573,5
835,17.2,461,4442,5
840,18,505,5681,5
840,15,450,4083,5
850,18.6,490,3144,5
840,17.1,472,5745,5
845,18.1,484,5546,5
845,17.7,460,6104,5
845,16.1,461,4198,5
850,19.6,480,6183,5
850,18.3,474,4089,5
850,18.3,515,3464,5
855,18.7,495,5510,5
855,20.7,530,8212,5
855,17,473,5602,5
860,17.9,465,7855,5
860,19.8,489,6200,5
865,19.5,486,7121,5
865,17,465,5021,5
870,19.4,503,8957,5
870,19.4,491,4783,5
870,14.8,425,4690,5
870,18.1,488,4832,5
875,21,525,5672,5
875,21,490,7553,5
875,15.2,475,4180,5
875,17,475,5828,5
875,21.5,520,4795,5
875,21.8,523,7670,5
875,20.1,520,6640,5
880,18.8,456,3810,5
885,20.6,504,5143,5
890,21.7,524,8468,5
890,20.1,481,2517,5
895,19.8,480,5478,5
895,23.8,531,6385,5
895,20.5,535,6688,5
900,23.5,527,7310,5
905,20.9,496,8704,5
910,24.4,541,9020,5
910,23.8,541,2591,5
910,20.1,523,9733,5
910,21.1,512,9238,5
915,25.4,545,8041,5
915,20.6,524,7571,5
915,21.1,497,7122,5
918,23.3,531,6874,5
925,24.7,539,6338,5
925,24.6,523,5733,5
930,22.3,554,6262,5
940,20.4,517,11708,5
945,26.6,567,6415,5
950,30,595,7089,5
955,25.9,539,6980,5
970,31.6,603,7377,5
995,21.4,585,7251,5
650,8,365,4437,6
695,8.1,366,3804,6
730,8.7,370,5334,6
740,10.8,397,4709,6
740,12.6,430,5734,6
745,10.6,395,5981,6
755,10.9,398,4012,6
755,14.7,420,6405,6
760,13.5,430,6548,6
770,10.4,400,5406,6
770,13.3,460,6797,6
770,10.9,400,6425,6
770,13.3,442,5766,6
770,14.7,460,8482,6
770,11.4,405,7384,6
770,10.5,395,5299,6
775,13.8,445,7084,6
780,13.1,434,6800,6
780,10.9,400,5306,6
780,14,454,8027,6
780,13.2,438,6750,6
785,13.3,417,6621,6
790,12.1,430,5011,6
790,11.1,420,5945,6
790,10,390,6502,6
790,12.9,450,5938,6
790,12.4,430,7981,6
790,14.1,444,6047,6
790,14.8,443,5599,6
790,14.2,432,7058,6
795,13.2,450,6685,6
795,13.6,436,4607,6
795,14.3,429,5196,6
795,13,431,3832,6
800,12.8,450,4831,6
800,15.3,460,6629,6
800,13.4,430,6382,6
800,15.9,468,7515,6
805,14.6,465,6808,6
805,15.3,464,7647,6
810,13.5,420,4909,6
810,14.9,465,6562,6
810,15.7,465,9743,6
815,12.9,440,6166,6
815,15.7,466,6314,6
815,14.9,439,4758,6
820,13.8,470,6268,6
820,16.6,477,6280,6
820,15.7,460,5889,6
820,15.2,453,5901,6
820,15.4,468,10348,6
825,15,459,6029,6
825,17.1,498,7045,6
830,16.3,470,6885,6
830,16.1,466,4884,6
830,16.8,486,6215,6
830,16,460,8399,6
830,16.4,482,8117,6
830,16.4,440,6486,6
835,16.5,450,3592,6
835,17.9,505,5655,6
835,18.5,502,6211,6
840,15.4,445,5281,6
840,14.6,446,4794,6
840,18.1,471,6780,6
840,19.2,500,7897,6
845,18.6,534,6303,6
845,17.3,472,4758,6
845,16.7,460,5460,6
850,19.2,509,5387,6
860,19,485,7320,6
860,18.4,508,8172,6
860,17.7,488,5753,6
860,17.9,480,6415,6
860,20.3,513,8667,6
865,18.3,476,6113,6
870,17.7,505,6352,6
870,15.7,480,6130,6
870,18.8,497,5985,6
870,18.1,498,7170,6
870,19.5,496,7719,6
880,22.2,535,7750,6
880,19.1,488,7079,6
890,18.4,500,7511,6
890,19.6,487,7254,6
890,20.1,510,5620,6
900,21.6,530,11597,6
900,24.8,555,8919,6
900,21,518,8366,6
905,21.6,521,5870,6
910,20.4,513,9034,6
910,23,539,8011,6
915,22.7,531,8021,6
920,24.1,530,8881,6
920,23.8,515,7200,6
935,24.7,542,8320,6
940,25.5,561,8751,6
970,27,548,7978,6
