"year","f4","f5","f6","f7","m4","m5","m6","m7","n_weirs","ess","N_aged_tot"
1976,0,0.0379547764366217,0.401465029644215,0.00397801546480784,0.0758931899211488,0.37623335751414,0.104475631019066,0,1,347,347
1977,0,0,0,0,0,0,0,0,0,0,0
1978,0,0.00334575483373923,0.352127341821484,0.103879405362988,0.176797600265433,0.100477223362051,0.219330141812757,0.0440425325415473,1,514,514
1979,0,0.00277065152178794,0.101427377828163,0.0276559055089128,0.658865716799111,0.134470916900698,0.0674378972862154,0.00737153415511232,1,383,383
1980,0,0,0,0,0,0,0,0,0,0,0
1981,0.00237619898319926,0.025994307743704,0.401845629813146,0.0258757448006753,0.0731638336092598,0.269439845670569,0.187378233696206,0.0139262056832406,1,785,785
1982,0,0.0195967307187245,0.429557217359023,0.0414327492886213,0.0925374843753394,0.212710624374273,0.194366828524657,0.00979836535936226,1,391,391
1983,0,0,0,0,0,0,0,0,0,0,0
1984,0,0.017988434991958,0.166654159204444,0.0291944450641836,0.212244873123627,0.458902845413852,0.103397499994929,0.0116177422070059,1,1374,1374
1985,0,0.0194302502681122,0.272992312614342,0.0194302502681122,0.168198736493002,0.331927433963284,0.176422346590243,0.0115986698029037,1,1041,1041
1986,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0
1988,0,0.0824632681742686,0.21,0.0661581704356714,0.0836949022614028,0.440146927302926,0.107536731825731,0.01,1,867,867
1989,0,0,0,0,0,0,0,0,0,0,0
1990,0,0.130097057931453,0.0867667576584774,0,0.263882317258113,0.48913254473764,0.030121322414316,0,1,358,358
1991,0.00271058862036268,0.07307453640232,0.410672634336222,0.0214418356956037,0.072947110881052,0.230836728411194,0.184785913387528,0.00353065226571752,2,317.313462559745,655
1992,0.00665473647541378,0.0226334539157325,0.232995574975118,0.0192897960403099,0.339854903365198,0.29550813605748,0.0797387619275116,0.00332463724323595,3,527.809075688471,1495
1993,0.00763200618763093,0.0232131202100766,0.207550946087791,0.0375853861924559,0.375451325506582,0.211758948409902,0.129450863760656,0.00735740364490455,2,358.287016101405,924
1994,0.0121133500138624,0.107876929185335,0.133530943978751,0.0266432089595663,0.178215822314714,0.412189336555345,0.114589073682986,0.0148413353094398,1,458,458
1995,0.0083888259631146,0.072668312675598,0.341875911331058,0.00150123773980198,0.183659679211468,0.1824731302154,0.208997511587982,0.00043539127557789,1,533,533
1996,0.00693969450295487,0.0624604835751585,0.181011396672549,0.111627470465541,0.0892203557809996,0.361768826904161,0.147328895144342,0.0396428769542941,2,377.034120978599,673
1997,0.0429012894808256,0.0239774997756001,0.321513279100598,0.00373796564646338,0.292036939257766,0.144551803097391,0.171281223641356,0,2,396.503333333333,741
1998,0,0,0,0,0,0,0,0,0,0,0
1999,0,0.0362227866473149,0.468232946298984,0.0171081277213353,0.0482402031930334,0.221763425253991,0.208432510885341,0,1,304,304
2000,0.00663239562349765,0.0570217330385203,0.263429729509786,0.0237199719806123,0.168846121659514,0.300270930117403,0.165679399036784,0.0143997190338824,5,149.598623853211,555
2001,0.00840403007183007,0.0335169946916853,0.302312737411159,0.0256481732387136,0.128240904476474,0.277410588046567,0.204428946026385,0.0200376260371866,5,236.068393278711,641
2002,0.00721524873271125,0.0445274688803295,0.200984267407686,0.0216846046611336,0.262181180332294,0.323636101958759,0.130521292181273,0.00924983584581289,6,536.645834978287,2156
2003,0.000818179247677113,0.033526166779989,0.193407636033527,0.0246957929364981,0.251491186860084,0.389635150489543,0.102574571791388,0.00385131586129401,4,773.917167812142,1832
2004,0.00380486316624737,0.0240035150795969,0.164178134183315,0.00498246681446782,0.458952963620702,0.267229179943444,0.0758542181762094,0.000994659016017808,6,853.551861050569,2766
2005,0.00667780299657646,0.14445871279096,0.19995544100923,0.00758396826863635,0.220494438985894,0.312316907838854,0.104126163407939,0.00438656470191109,5,643.048768939394,2207
2006,0.00085580018037824,0.0575333207942211,0.27620119380453,0.038492125800157,0.311825612116123,0.216049463867928,0.0864444339797408,0.0125980494569227,6,716.03724886347,2442
2007,0.00341289556568936,0.080910806415746,0.139541823824084,0.0107089322697373,0.460943420358659,0.229081445652992,0.069420160353074,0.00598051556001855,5,642.579689703808,1814
2008,0.00337940614826284,0.0850340144296445,0.200608858117193,0.0138262704256619,0.265142338437447,0.352741316751307,0.0699402196771773,0.00932757601330647,6,362.020592763664,1652
2009,0.0125444665887896,0.0762470211407719,0.293461674430099,0.0090254236218958,0.195625824208225,0.304433246378376,0.108444224862879,0.000218118768964023,6,286.457640996003,1305
2010,0.00529314050543404,0.0807872349822889,0.209932144024186,0.0218734643309483,0.378505974691034,0.233758247178403,0.0653443550163956,0.00450543927130953,6,263.490914536741,1031
2011,0.00480707393228484,0.0646631030742307,0.202462958692742,0.00844478240573319,0.389346723277861,0.230904260202846,0.0972187435440516,0.00215235487025039,6,333.883896477354,1212
2012,0.0036173442590868,0.213958467648386,0.197470010332709,0.00518872211513903,0.2387894387201,0.296059734598212,0.0449162823263669,0,4,101.36897479814,273
