year,S_tot_obs,S_tot_obs_cv,H_com_tot_obs,H_com_tot_obs_cv,H_sub_tot_obs,H_sub_tot_obs_cv
1976,97037,0.26714,31941,0.02,58606,0.1
1977,255117,0.36496,37127,0.02,56580,0.1
1978,158309,0.23986,47202,0.02,36270,0.1
1979,137485,0.33352,40019,0.02,56283,0.1
1980,260982,0.5007,37076,0.02,59892,0.1
1981,198261,0.32734,49070,0.02,61329,0.1
1982,66071,0.1729,48983,0.02,58018,0.1
1983,66133,0.20568,34733,0.02,47412,0.1
1984,82677,0.2486,32246,0.02,56930,0.1
1985,61641,0.197628,38053,0.02,43874,0.1
1986,52840,0.29462,19593,0.02,51019,0.1
1987,81941,0.2641,36918,0.02,67325,0.1
1988,77061,0.148044,56820,0.02,70943,0.1
1989,87928,0.199524,44978,0.02,81175,0.1
1990,102167,0.157084,54408,0.02,109778,0.04
1991,97377,0.170032,38328,0.02,74820,0.01
1992,127881,0.1487,48619,0.02,82654,0.04
1993,175319,0.2051,11837,0.02,87674,0.02
1994,289094,0.27808,19287,0.02,103343,0.02
1995,236161,0.22052,32808,0.02,102110,0.03
1996,201561,0.24746,9098,0.02,96413,0.03
1997,203878,0.20952,12000,0.02,79381,0.02
1998,84140,0.26426,19003,0.02,81213,0.03
1999,80940,0.21468,5055,0.02,72775,0.01
2000,60905,0.132426,613,0.02,67620,0.05
2001,126677,0.17319,466,0.02,78009,0.02
2002,144445,0.152512,679,0.02,80982,0.02
2003,164180,0.113278,968,0.02,67134,0.02
2004,266084,0.12662,3853,0.02,96788,0.04
2005,235901,0.106812,5913,0.02,85090,0.01
2006,232409,0.121254,3573,0.02,90085,0.02
2007,146637,0.10105,1962,0.02,96155,0.02
2008,111613,0.121348,9993,0.02,98103,0.05
2009,103101,0.13975,8038,0.02,78231,0.02
2010,43541,0.099216,3378,0.02,66056,0.02
2011,49718,0.110094,1663,0.02,62368,0.03
2012,55745.5,0.20236,948,0.02,22544,0.03
2013,36823.4,0.1088,375,0.02,47113,0.03
2014,72560.1,0.154598,532,0.02,11234,0.03
2015,108454,0.12789,480,0.02,16124,0.03
2016,97640,0.14215,522,0.02,30693,0.03
2017,116597,0.158366,290,0.02,16380,0.04
