year,com,sub
1976,unr,unr
1977,unr,unr
1978,unr,unr
1979,unr,unr
1980,unr,unr
1981,unr,unr
1982,unr,unr
1983,unr,unr
1984,res,unr
1985,res,unr
1986,res,unr
1987,res,unr
1988,res,unr
1989,res,unr
1990,res,unr
1991,res,unr
1992,res,unr
1993,res,unr
1994,res,unr
1995,res,unr
1996,res,unr
1997,res,unr
1998,res,unr
1999,res,unr
2000,res,unr
2001,res,unr
2002,res,unr
2003,res,unr
2004,res,unr
2005,res,unr
2006,res,unr
2007,res,unr
2008,res,unr
2009,res,unr
2010,res,unr
2011,res,unr
2012,res,unr
2013,res,unr
2014,res,res
2015,res,res
2016,res,res
2017,res,res
2018,res,res
2019,res,res
